Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
2133, 24.8079, baby_yoda, Juguetes, Select, 5.5180, 1.4191, 7.3020, 0.0000, 270.0002, 0.0000, 0.1060, 0.1060, 0.1060, Normal, Select
2136, 24.8467, baby_yoda, Juguetes, Select, 5.5174, 1.4211, 7.3014, 0.2085, 270.2462, 359.6097, 0.1060, 0.1060, 0.1060, Normal, Select
2139, 24.8874, baby_yoda, Juguetes, Select, 5.5180, 1.4218, 7.3020, 0.0883, 269.9716, 359.4408, 0.1060, 0.1060, 0.1060, Normal, Select
2142, 24.9285, baby_yoda, Juguetes, Select, 5.5180, 1.4222, 7.3026, 0.0036, 269.7654, 359.3577, 0.1060, 0.1060, 0.1060, Normal, Select
2145, 24.9698, baby_yoda, Juguetes, Select, 5.5168, 1.4224, 7.3036, 359.9206, 269.5489, 359.4314, 0.1060, 0.1060, 0.1060, Normal, Select
2148, 25.0116, baby_yoda, Juguetes, Select, 5.5156, 1.4220, 7.3046, 359.7687, 269.3486, 359.6747, 0.1060, 0.1060, 0.1060, Normal, Select
2151, 25.0528, baby_yoda, Juguetes, Select, 5.5143, 1.4216, 7.3057, 359.6622, 269.2392, 359.9088, 0.1060, 0.1060, 0.1060, Normal, Select
2154, 25.0948, baby_yoda, Juguetes, Select, 5.5134, 1.4220, 7.3059, 359.7242, 269.2906, 0.0179, 0.1060, 0.1060, 0.1060, Normal, Select
2157, 25.1364, baby_yoda, Juguetes, Select, 5.5133, 1.4221, 7.3058, 359.7638, 269.3512, 0.0074, 0.1060, 0.1060, 0.1060, Normal, Select
2160, 25.1787, baby_yoda, Juguetes, Select, 5.5129, 1.4220, 7.3056, 359.8546, 269.4385, 0.1690, 0.1060, 0.1060, 0.1060, Normal, Select
2163, 25.2199, baby_yoda, Juguetes, Select, 5.5127, 1.4215, 7.3056, 359.8637, 269.4628, 0.3385, 0.1060, 0.1060, 0.1060, Normal, Select
