Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
3908, 54.3400, Top, ShelfToys, 4.4252, 1.2391, 9.5127, 0.0185, 0.9746, 0.0392, 4.3007, 1.2465, 9.4539, 0.0185, 0.9746, 0.0392, 4.3968, 1.2408, 9.4993, 5.4847, 1.4138, 7.2183
3909, 54.3600, Top, ShelfToys, 4.4247, 1.2413, 9.5150, 0.0159, 0.9733, 0.0514, 4.3007, 1.2487, 9.4553, 0.0159, 0.9733, 0.0514, 4.3965, 1.2430, 9.5014, 5.3973, 1.4559, 7.4490
3911, 54.3800, Top, ShelfToys, 4.4241, 1.2449, 9.5189, 0.0135, 0.9705, 0.0726, 4.3008, 1.2531, 9.4578, 0.0135, 0.9705, 0.0726, 4.3960, 1.2467, 9.5050, 5.3973, 1.5482, 7.5271
3912, 54.4000, Top, ShelfToys, 4.4238, 1.2470, 9.5206, 0.0107, 0.9691, 0.0835, 4.3008, 1.2552, 9.4589, 0.0107, 0.9691, 0.0835, 4.3958, 1.2489, 9.5066, 5.3973, 1.5971, 7.5569
3914, 54.4200, Top, ShelfToys, 4.4223, 1.2511, 9.5242, 0.0078, 0.9665, 0.1077, 4.2995, 1.2601, 9.4624, 0.0078, 0.9665, 0.1077, 4.3943, 1.2531, 9.5101, 5.3973, 1.7070, 7.5840
3915, 54.4400, Top, ShelfToys, 4.4217, 1.2526, 9.5256, 0.0067, 0.9654, 0.1178, 4.2988, 1.2619, 9.4640, 0.0067, 0.9654, 0.1178, 4.3937, 1.2547, 9.5116, 5.3973, 1.7545, 7.5867
3917, 54.4600, Top, ShelfToys, 4.4201, 1.2558, 9.5281, 0.0020, 0.9633, 0.1366, 4.2970, 1.2651, 9.4668, 0.0020, 0.9633, 0.1366, 4.3921, 1.2579, 9.5141, 5.3973, 1.8488, 7.5856
3918, 54.4800, Top, ShelfToys, 4.4193, 1.2575, 9.5294, 0.0012, 0.9625, 0.1462, 4.2958, 1.2671, 9.4688, 0.0012, 0.9625, 0.1462, 4.3911, 1.2597, 9.5156, 5.3973, 1.9017, 7.5658
3919, 54.5000, Top, ShelfToys, 4.4184, 1.2591, 9.5303, 0.0006, 0.9617, 0.1552, 4.2946, 1.2689, 9.4705, 0.0006, 0.9617, 0.1552, 4.3902, 1.2613, 9.5167, 5.3973, 1.9531, 7.5459
3921, 54.5200, Top, ShelfToys, 4.4165, 1.2619, 9.5318, -0.0027, 0.9606, 0.1710, 4.2919, 1.2715, 9.4736, -0.0027, 0.9606, 0.1710, 4.3881, 1.2641, 9.5185, 5.3973, 2.0566, 7.4862
4006, 55.7000, Top, ShelfToys, 4.4005, 1.2509, 9.5353, 0.0091, 0.9798, 0.1215, 4.2697, 1.2587, 9.4928, 0.0091, 0.9798, 0.1215, 4.3707, 1.2527, 9.5256, 5.3973, 2.0245, 6.5048
4007, 55.7200, Top, ShelfToys, 4.4014, 1.2494, 9.5351, 0.0114, 0.9800, 0.1123, 4.2710, 1.2576, 9.4912, 0.0114, 0.9800, 0.1123, 4.3717, 1.2513, 9.5251, 5.3973, 1.9366, 6.6071
4009, 55.7400, Top, ShelfToys, 4.4034, 1.2471, 9.5344, 0.0159, 0.9803, 0.0972, 4.2737, 1.2560, 9.4885, 0.0159, 0.9803, 0.0972, 4.3738, 1.2492, 9.5239, 5.3973, 1.8076, 6.7411
4010, 55.7600, Top, ShelfToys, 4.4043, 1.2462, 9.5340, 0.0180, 0.9803, 0.0917, 4.2749, 1.2554, 9.4875, 0.0180, 0.9803, 0.0917, 4.3748, 1.2483, 9.5234, 5.3973, 1.7634, 6.7852
4012, 55.7800, Top, ShelfToys, 4.4061, 1.2441, 9.5331, 0.0224, 0.9801, 0.0818, 4.2772, 1.2542, 9.4852, 0.0224, 0.9801, 0.0818, 4.3767, 1.2464, 9.5222, 5.3973, 1.6841, 6.8704
4013, 55.8000, Top, ShelfToys, 4.4068, 1.2431, 9.5326, 0.0249, 0.9800, 0.0764, 4.2783, 1.2536, 9.4840, 0.0249, 0.9800, 0.0764, 4.3776, 1.2455, 9.5215, 5.3973, 1.6438, 6.9117
4014, 55.8200, Top, ShelfToys, 4.4076, 1.2419, 9.5322, 0.0271, 0.9801, 0.0702, 4.2793, 1.2527, 9.4831, 0.0271, 0.9801, 0.0702, 4.3783, 1.2444, 9.5210, 5.3973, 1.6018, 6.9383
4016, 55.8400, Top, ShelfToys, 4.4090, 1.2400, 9.5309, 0.0299, 0.9802, 0.0589, 4.2811, 1.2511, 9.4809, 0.0299, 0.9802, 0.0589, 4.3799, 1.2425, 9.5195, 5.3973, 1.5296, 6.9796
4017, 55.8600, Top, ShelfToys, 4.4097, 1.2393, 9.5305, 0.0314, 0.9802, 0.0544, 4.2819, 1.2506, 9.4803, 0.0314, 0.9802, 0.0544, 4.3806, 1.2419, 9.5191, 5.3973, 1.5015, 6.9913
