Frame,Timestamp,TaskDuration,Completed
1107,12.2385,5.8588,Yes
2000,24.6549,9.9715,Yes
3152,40.6554,13.9032,Yes
4471,58.988,16.3886,Yes
5312,70.6814,12.054,No
6575,88.221,16.2922,Yes
7545,101.7209,11.9864,No
8955,121.3048,18.0977,Yes
10081,136.9437,12.487,Yes
13329,182.0527,42.4032,Yes
