Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
1517, 17.9359, baby_yoda, Juguetes, Select, 5.5180, 1.4191, 7.3020, 0.0000, 270.0002, 0.0000, 0.1060, 0.1060, 0.1060, Normal, Select
1520, 17.9731, baby_yoda, Juguetes, Select, 5.5180, 1.4196, 7.3018, 359.8175, 269.9257, 359.8092, 0.1060, 0.1060, 0.1060, Normal, Select
1523, 18.0148, baby_yoda, Juguetes, Select, 5.5182, 1.4205, 7.3012, 359.5763, 269.8378, 359.4388, 0.1060, 0.1060, 0.1060, Normal, Select
1526, 18.0572, baby_yoda, Juguetes, Select, 5.5169, 1.4214, 7.3005, 359.5485, 270.0646, 359.2273, 0.1060, 0.1060, 0.1060, Normal, Select
1529, 18.0983, baby_yoda, Juguetes, Select, 5.5159, 1.4223, 7.3000, 359.4385, 270.2037, 358.9690, 0.1060, 0.1060, 0.1060, Normal, Select
1532, 18.1405, baby_yoda, Juguetes, Select, 5.5151, 1.4227, 7.2995, 359.3224, 270.3885, 358.8950, 0.1060, 0.1060, 0.1060, Normal, Select
1535, 18.1822, baby_yoda, Juguetes, Select, 5.5147, 1.4235, 7.2990, 359.3054, 270.5104, 358.7030, 0.1060, 0.1060, 0.1060, Normal, Select
1538, 18.2241, baby_yoda, Juguetes, Select, 5.5143, 1.4248, 7.2983, 359.3522, 270.7070, 358.4094, 0.1060, 0.1060, 0.1060, Normal, Select
1541, 18.2652, baby_yoda, Juguetes, Select, 5.5137, 1.4261, 7.2982, 359.6185, 270.8502, 358.1812, 0.1060, 0.1060, 0.1060, Normal, Select
1544, 18.3073, baby_yoda, Juguetes, Select, 5.5125, 1.4282, 7.2982, 359.9170, 271.1111, 357.6777, 0.1060, 0.1060, 0.1060, Normal, Select
1547, 18.3480, baby_yoda, Juguetes, Select, 5.5105, 1.4305, 7.2992, 0.0067, 271.4138, 356.9409, 0.1060, 0.1060, 0.1060, Normal, Select
1550, 18.3904, baby_yoda, Juguetes, Select, 5.5064, 1.4323, 7.3061, 359.9050, 271.6202, 355.6606, 0.1060, 0.1060, 0.1060, Normal, Select
1553, 18.4319, baby_yoda, Juguetes, Select, 5.4977, 1.4310, 7.3178, 359.9098, 271.9773, 354.5934, 0.1060, 0.1060, 0.1060, Normal, Select
1556, 18.4742, baby_yoda, Juguetes, Select, 5.4818, 1.4258, 7.3379, 0.1296, 272.3665, 353.5307, 0.1060, 0.1060, 0.1060, Normal, Select
1559, 18.5154, baby_yoda, Juguetes, Select, 5.4602, 1.4211, 7.3633, 0.0891, 273.3226, 352.3138, 0.1060, 0.1060, 0.1060, Normal, Select
1562, 18.5573, baby_yoda, Juguetes, Select, 5.4413, 1.4180, 7.3809, 0.0379, 274.4073, 351.6306, 0.1060, 0.1060, 0.1060, Normal, Select
1565, 18.5991, baby_yoda, Juguetes, Select, 5.4278, 1.4115, 7.3962, 359.8992, 275.3650, 351.8404, 0.1060, 0.1060, 0.1060, Normal, Select
1568, 18.6415, baby_yoda, Juguetes, Select, 5.4211, 1.4067, 7.4060, 0.0041, 275.9655, 352.0219, 0.1060, 0.1060, 0.1060, Normal, Select
1571, 18.6825, baby_yoda, Juguetes, Select, 5.4218, 1.4012, 7.4131, 0.0420, 275.7637, 352.3307, 0.1060, 0.1060, 0.1060, Normal, Select
1574, 18.7247, baby_yoda, Juguetes, Select, 5.4181, 1.3923, 7.4253, 0.2253, 274.6299, 352.8882, 0.1060, 0.1060, 0.1060, Normal, Select
1577, 18.7656, baby_yoda, Juguetes, Select, 5.4156, 1.3827, 7.4396, 0.1788, 273.4210, 353.2461, 0.1060, 0.1060, 0.1060, Normal, Select
1580, 18.8074, baby_yoda, Juguetes, Select, 5.4139, 1.3665, 7.4560, 359.0445, 272.2142, 354.2275, 0.1060, 0.1060, 0.1060, Normal, Select
1583, 18.8488, baby_yoda, Juguetes, Select, 5.4055, 1.3501, 7.4755, 358.5031, 272.5019, 354.6553, 0.1060, 0.1060, 0.1060, Normal, Select
1586, 18.8905, baby_yoda, Juguetes, Select, 5.3961, 1.3302, 7.4935, 358.0801, 272.3702, 356.4041, 0.1060, 0.1060, 0.1060, Normal, Select
1589, 18.9323, baby_yoda, Juguetes, Select, 5.3865, 1.3097, 7.5086, 357.0050, 272.0423, 357.9147, 0.1060, 0.1060, 0.1060, Normal, Select
1592, 18.9747, baby_yoda, Juguetes, Select, 5.3829, 1.2964, 7.5282, 356.5510, 271.3231, 359.5163, 0.1060, 0.1060, 0.1060, Normal, Select
1595, 19.0165, baby_yoda, Juguetes, Select, 5.3686, 1.2857, 7.5453, 355.9992, 271.5646, 358.4285, 0.1060, 0.1060, 0.1060, Normal, Select
1598, 19.0577, baby_yoda, Juguetes, Select, 5.3531, 1.2744, 7.5666, 355.5569, 271.6090, 357.5720, 0.1060, 0.1060, 0.1060, Normal, Select
1601, 19.0995, baby_yoda, Juguetes, Select, 5.3429, 1.2582, 7.5818, 352.8640, 270.6432, 355.6940, 0.1060, 0.1060, 0.1060, Normal, Select
1604, 19.1412, baby_yoda, Juguetes, Select, 5.3338, 1.2479, 7.5972, 351.0336, 269.7037, 353.7997, 0.1060, 0.1060, 0.1060, Normal, Select
1607, 19.1834, baby_yoda, Juguetes, Select, 5.3243, 1.2386, 7.6119, 349.1697, 268.5148, 351.7295, 0.1060, 0.1060, 0.1060, Normal, Select
1610, 19.2243, baby_yoda, Juguetes, Select, 5.3174, 1.2290, 7.6256, 346.7193, 267.0650, 350.0748, 0.1060, 0.1060, 0.1060, Normal, Select
1613, 19.2665, baby_yoda, Juguetes, Select, 5.3138, 1.2176, 7.6389, 344.1404, 265.0782, 349.7584, 0.1060, 0.1060, 0.1060, Normal, Select
1616, 19.3074, baby_yoda, Juguetes, Select, 5.3143, 1.2057, 7.6517, 341.8108, 262.6465, 350.3736, 0.1060, 0.1060, 0.1060, Normal, Select
1619, 19.3491, baby_yoda, Juguetes, Select, 5.3181, 1.2032, 7.6615, 340.8024, 260.5133, 350.3939, 0.1060, 0.1060, 0.1060, Normal, Select
1622, 19.3909, baby_yoda, Juguetes, Select, 5.3213, 1.2037, 7.6731, 340.1704, 258.0024, 348.9938, 0.1060, 0.1060, 0.1060, Normal, Select
1625, 19.4328, baby_yoda, Juguetes, Select, 5.3257, 1.2078, 7.6835, 339.9189, 255.5053, 346.3467, 0.1060, 0.1060, 0.1060, Normal, Select
1628, 19.4760, baby_yoda, Juguetes, Select, 5.3286, 1.2051, 7.6933, 338.5370, 253.1670, 345.1976, 0.1060, 0.1060, 0.1060, Normal, Select
1631, 19.5162, baby_yoda, Juguetes, Select, 5.3315, 1.2015, 7.7018, 337.7551, 250.7707, 345.0283, 0.1060, 0.1060, 0.1060, Normal, Select
1634, 19.5577, baby_yoda, Juguetes, Select, 5.3334, 1.2006, 7.7078, 337.9131, 249.0587, 344.7364, 0.1060, 0.1060, 0.1060, Normal, Select
1637, 19.5995, baby_yoda, Juguetes, Select, 5.3342, 1.2004, 7.7120, 338.2550, 247.8851, 344.3028, 0.1060, 0.1060, 0.1060, Normal, Select
1640, 19.6416, baby_yoda, Juguetes, Select, 5.3345, 1.1972, 7.7181, 338.8219, 246.2489, 344.3058, 0.1060, 0.1060, 0.1060, Normal, Select
1643, 19.6830, baby_yoda, Juguetes, Select, 5.3359, 1.1856, 7.7265, 338.6460, 244.0184, 344.8806, 0.1060, 0.1060, 0.1060, Normal, Select
1646, 19.7250, baby_yoda, Juguetes, Select, 5.3371, 1.1721, 7.7342, 338.4467, 241.6304, 345.6405, 0.1060, 0.1060, 0.1060, Normal, Select
1649, 19.7663, baby_yoda, Juguetes, Select, 5.3401, 1.1652, 7.7461, 339.7411, 237.8089, 345.6624, 0.1060, 0.1060, 0.1060, Normal, Select
1652, 19.8075, baby_yoda, Juguetes, Select, 5.3423, 1.1583, 7.7578, 340.6479, 234.0362, 345.7072, 0.1060, 0.1060, 0.1060, Normal, Select
1655, 19.8492, baby_yoda, Juguetes, Select, 5.3459, 1.1515, 7.7710, 341.4231, 229.9892, 345.5854, 0.1060, 0.1060, 0.1060, Normal, Select
1658, 19.8907, baby_yoda, Juguetes, Select, 5.3475, 1.1411, 7.7871, 340.8504, 225.9858, 345.8211, 0.1060, 0.1060, 0.1060, Normal, Select
1661, 19.9332, baby_yoda, Juguetes, Select, 5.3481, 1.1268, 7.8082, 337.9662, 221.1641, 346.0439, 0.1060, 0.1060, 0.1060, Normal, Select
1664, 19.9747, baby_yoda, Juguetes, Select, 5.3474, 1.1187, 7.8235, 335.7680, 217.3135, 345.8753, 0.1060, 0.1060, 0.1060, Normal, Select
1667, 20.0172, baby_yoda, Juguetes, Select, 5.3454, 1.1120, 7.8423, 333.1458, 213.1479, 345.0813, 0.1060, 0.1060, 0.1060, Normal, Select
1670, 20.0585, baby_yoda, Juguetes, Select, 5.3408, 1.0972, 7.8680, 330.0751, 207.4536, 346.3830, 0.1060, 0.1060, 0.1060, Normal, Select
1673, 20.1005, baby_yoda, Juguetes, Select, 5.3365, 1.0883, 7.8894, 328.7440, 202.8195, 347.2168, 0.1060, 0.1060, 0.1060, Normal, Select
1676, 20.1414, baby_yoda, Juguetes, Select, 5.3306, 1.0928, 7.9089, 331.3186, 198.8408, 348.5129, 0.1060, 0.1060, 0.1060, Normal, Select
1679, 20.1845, baby_yoda, Juguetes, Select, 5.3232, 1.0938, 7.9316, 333.6941, 194.4044, 350.3533, 0.1060, 0.1060, 0.1060, Normal, Select
1682, 20.2254, baby_yoda, Juguetes, Select, 5.3148, 1.0937, 7.9554, 335.5265, 190.0523, 351.4634, 0.1060, 0.1060, 0.1060, Normal, Select
1685, 20.2670, baby_yoda, Juguetes, Select, 5.3061, 1.0921, 7.9762, 336.1866, 186.7379, 352.1996, 0.1060, 0.1060, 0.1060, Normal, Select
1688, 20.3080, baby_yoda, Juguetes, Select, 5.2970, 1.0895, 7.9943, 335.8876, 184.0960, 352.1960, 0.1060, 0.1060, 0.1060, Normal, Select
1691, 20.3495, baby_yoda, Juguetes, Select, 5.2872, 1.0849, 8.0095, 334.6282, 181.5122, 352.4346, 0.1060, 0.1060, 0.1060, Normal, Select
1694, 20.3916, baby_yoda, Juguetes, Select, 5.2771, 1.0800, 8.0213, 334.1385, 178.0895, 354.1621, 0.1060, 0.1060, 0.1060, Normal, Select
1697, 20.4353, baby_yoda, Juguetes, Select, 5.2667, 1.0745, 8.0327, 333.7947, 174.3672, 356.4405, 0.1060, 0.1060, 0.1060, Normal, Select
1700, 20.4747, baby_yoda, Juguetes, Select, 5.2543, 1.0645, 8.0445, 333.4449, 170.6074, 0.3800, 0.1060, 0.1060, 0.1060, Normal, Select
1703, 20.5167, baby_yoda, Juguetes, Select, 5.2396, 1.0553, 8.0618, 334.2443, 166.1109, 4.9035, 0.1060, 0.1060, 0.1060, Normal, Select
1706, 20.5584, baby_yoda, Juguetes, Select, 5.2269, 1.0532, 8.0798, 336.0945, 161.7872, 7.3138, 0.1060, 0.1060, 0.1060, Normal, Select
1709, 20.5999, baby_yoda, Juguetes, Select, 5.2185, 1.0575, 8.0901, 337.6485, 159.3527, 8.3460, 0.1060, 0.1060, 0.1060, Normal, Select
1712, 20.6417, baby_yoda, Juguetes, Select, 5.2176, 1.0703, 8.0997, 338.5460, 160.1035, 5.6031, 0.1060, 0.1060, 0.1060, Normal, Select
1715, 20.6831, baby_yoda, Juguetes, Select, 5.2186, 1.0816, 8.1064, 338.1319, 161.8687, 1.2173, 0.1060, 0.1060, 0.1060, Normal, Select
1718, 20.7255, baby_yoda, Juguetes, Select, 5.2192, 1.0869, 8.1096, 337.4593, 163.7102, 357.6490, 0.1060, 0.1060, 0.1060, Normal, Select
1721, 20.7669, baby_yoda, Juguetes, Select, 5.2171, 1.0862, 8.1140, 337.4638, 163.6741, 357.3613, 0.1060, 0.1060, 0.1060, Normal, Select
1724, 20.8082, baby_yoda, Juguetes, Select, 5.2130, 1.0869, 8.1178, 338.1849, 162.1378, 357.8622, 0.1060, 0.1060, 0.1060, Normal, Select
1727, 20.8496, baby_yoda, Juguetes, Select, 5.2108, 1.0873, 8.1208, 338.8001, 161.0667, 358.2769, 0.1060, 0.1060, 0.1060, Normal, Select
1730, 20.8914, baby_yoda, Juguetes, Select, 5.2123, 1.0855, 8.1211, 338.6630, 160.9880, 358.5705, 0.1060, 0.1060, 0.1060, Normal, Select
1733, 20.9333, baby_yoda, Juguetes, Select, 5.2144, 1.0828, 8.1224, 338.6462, 160.9552, 358.7861, 0.1060, 0.1060, 0.1060, Normal, Select
1736, 20.9756, baby_yoda, Juguetes, Select, 5.2153, 1.0772, 8.1239, 338.9264, 160.5245, 0.3128, 0.1060, 0.1060, 0.1060, Normal, Select
1739, 21.0180, baby_yoda, Juguetes, Select, 5.2144, 1.0733, 8.1257, 339.2095, 159.7295, 1.8128, 0.1060, 0.1060, 0.1060, Normal, Select
