Frame,Timestamp,TaskDuration,Completed
2490,25.5181,26.197,No
3288,33.6017,8.9864,Yes
5990,71.1405,32.038,No
8725,109.1433,30.3891,Yes
9862,124.9318,12.1918,No
13105,169.9737,42.8883,No
14261,186.0281,13.6374,Yes
17306,228.3191,43.3737,No
18635,246.7776,13.6125,No
22327,298.0679,48.875,No
