Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
2342, 20.4600, Top, ShelfToys, 5.1927, 1.5631, 7.7412, -0.1828, -0.6831, 0.1120, 5.1984, 1.5759, 7.6041, -0.1828, -0.6831, 0.1120, 5.1940, 1.5660, 7.7100, 5.3973, 1.4751, 7.7100
2344, 20.4800, Top, ShelfToys, 5.1926, 1.5632, 7.7411, -0.1824, -0.6834, 0.1118, 5.1982, 1.5761, 7.6040, -0.1824, -0.6834, 0.1118, 5.1939, 1.5662, 7.7099, 5.3973, 1.4754, 7.7098
2345, 20.5000, Top, ShelfToys, 5.1925, 1.5634, 7.7411, -0.1822, -0.6836, 0.1115, 5.1981, 1.5763, 7.6040, -0.1822, -0.6836, 0.1115, 5.1938, 1.5663, 7.7098, 5.3973, 1.4757, 7.7096
2346, 20.5200, Top, ShelfToys, 5.1924, 1.5635, 7.7410, -0.1819, -0.6839, 0.1110, 5.1979, 1.5764, 7.6039, -0.1819, -0.6839, 0.1110, 5.1937, 1.5664, 7.7097, 5.3973, 1.4760, 7.7094
2348, 20.5400, Top, ShelfToys, 5.1923, 1.5638, 7.7409, -0.1812, -0.6843, 0.1103, 5.1977, 1.5768, 7.6038, -0.1812, -0.6843, 0.1103, 5.1936, 1.5668, 7.7096, 5.3973, 1.4768, 7.7092
2349, 20.5600, Top, ShelfToys, 5.1923, 1.5640, 7.7409, -0.1807, -0.6847, 0.1099, 5.1976, 1.5770, 7.6038, -0.1807, -0.6847, 0.1099, 5.1935, 1.5669, 7.7096, 5.3973, 1.4773, 7.7090
2351, 20.5800, Top, ShelfToys, 5.1922, 1.5644, 7.7408, -0.1797, -0.6851, 0.1089, 5.1973, 1.5774, 7.6037, -0.1797, -0.6851, 0.1089, 5.1933, 1.5673, 7.7096, 5.3973, 1.4783, 7.7088
2352, 20.6000, Top, ShelfToys, 5.1921, 1.5646, 7.7408, -0.1794, -0.6854, 0.1084, 5.1972, 1.5776, 7.6037, -0.1794, -0.6854, 0.1084, 5.1933, 1.5675, 7.7096, 5.3973, 1.4788, 7.7087
2354, 20.6200, Top, ShelfToys, 5.1921, 1.5651, 7.7407, -0.1781, -0.6859, 0.1070, 5.1970, 1.5782, 7.6036, -0.1781, -0.6859, 0.1070, 5.1932, 1.5681, 7.7094, 5.3973, 1.4803, 7.7085
2355, 20.6400, Top, ShelfToys, 5.1920, 1.5654, 7.7407, -0.1773, -0.6864, 0.1058, 5.1969, 1.5786, 7.6036, -0.1773, -0.6864, 0.1058, 5.1931, 1.5684, 7.7094, 5.3973, 1.4812, 7.7083
