Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
2413, 21.4400, letrero_juguetes, ==SIGNBOARDS==, 5.1592, 1.6551, 7.6928, 0.1696, -0.8513, -0.3042, 5.0717, 1.6482, 7.5865, 0.1696, -0.8513, -0.3042, 5.1392, 1.6536, 7.6686, 6.2563, 2.9410, 6.6660
2414, 21.4600, letrero_juguetes, ==SIGNBOARDS==, 5.1593, 1.6549, 7.6910, 0.1696, -0.8534, -0.3029, 5.0711, 1.6475, 7.5854, 0.1696, -0.8534, -0.3029, 5.1392, 1.6532, 7.6669, 6.2316, 2.9166, 6.6660
2416, 21.4800, letrero_juguetes, ==SIGNBOARDS==, 5.1598, 1.6543, 7.6874, 0.1695, -0.8567, -0.2990, 5.0707, 1.6459, 7.5826, 0.1695, -0.8567, -0.2990, 5.1395, 1.6524, 7.6636, 6.1989, 2.8732, 6.6660
2417, 21.5000, letrero_juguetes, ==SIGNBOARDS==, 5.1600, 1.6541, 7.6857, 0.1689, -0.8583, -0.2966, 5.0705, 1.6455, 7.5812, 0.1689, -0.8583, -0.2966, 5.1396, 1.6522, 7.6619, 6.1865, 2.8514, 6.6660
2419, 21.5200, letrero_juguetes, ==SIGNBOARDS==, 5.1609, 1.6534, 7.6824, 0.1681, -0.8609, -0.2921, 5.0709, 1.6442, 7.5784, 0.1681, -0.8609, -0.2921, 5.1404, 1.6513, 7.6587, 6.1680, 2.8139, 6.6660
2420, 21.5400, letrero_juguetes, ==SIGNBOARDS==, 5.1615, 1.6533, 7.6807, 0.1674, -0.8622, -0.2889, 5.0714, 1.6438, 7.5768, 0.1674, -0.8622, -0.2889, 5.1410, 1.6511, 7.6570, 6.1639, 2.7935, 6.6660
2421, 21.5600, letrero_juguetes, ==SIGNBOARDS==, 5.1620, 1.6529, 7.6789, 0.1672, -0.8632, -0.2856, 5.0720, 1.6431, 7.5750, 0.1672, -0.8632, -0.2856, 5.1415, 1.6507, 7.6552, 6.1729, 2.7878, 6.6545
2423, 21.5800, letrero_juguetes, ==SIGNBOARDS==, 5.1638, 1.6525, 7.6754, 0.1663, -0.8661, -0.2793, 5.0733, 1.6420, 7.5720, 0.1663, -0.8661, -0.2793, 5.1432, 1.6501, 7.6519, 6.1966, 2.7878, 6.6157
2424, 21.6000, letrero_juguetes, ==SIGNBOARDS==, 5.1647, 1.6521, 7.6735, 0.1651, -0.8678, -0.2768, 5.0738, 1.6414, 7.5705, 0.1651, -0.8678, -0.2768, 5.1440, 1.6497, 7.6501, 6.2060, 2.7878, 6.5956
2426, 21.6200, letrero_juguetes, ==SIGNBOARDS==, 5.1665, 1.6512, 7.6696, 0.1623, -0.8717, -0.2716, 5.0746, 1.6402, 7.5675, 0.1623, -0.8717, -0.2716, 5.1456, 1.6487, 7.6463, 6.2261, 2.7878, 6.5506
2427, 21.6400, letrero_juguetes, ==SIGNBOARDS==, 5.1675, 1.6509, 7.6677, 0.1614, -0.8733, -0.2690, 5.0752, 1.6397, 7.5660, 0.1614, -0.8733, -0.2690, 5.1465, 1.6484, 7.6446, 6.2357, 2.7878, 6.5300
2429, 21.6600, letrero_juguetes, ==SIGNBOARDS==, 5.1696, 1.6505, 7.6644, 0.1612, -0.8757, -0.2636, 5.0769, 1.6386, 7.5631, 0.1612, -0.8757, -0.2636, 5.1485, 1.6478, 7.6413, 6.2563, 2.7878, 6.4926
2430, 21.6800, letrero_juguetes, ==SIGNBOARDS==, 5.1707, 1.6503, 7.6629, 0.1607, -0.8765, -0.2613, 5.0780, 1.6382, 7.5617, 0.1607, -0.8765, -0.2613, 5.1496, 1.6475, 7.6398, 6.2682, 2.7878, 6.4777
2610, 24.1800, baby_yoda, Juguetes, 5.2069, 1.6184, 7.6716, 0.0339, -0.8841, -0.0855, 5.1273, 1.6209, 7.5592, 0.0339, -0.8841, -0.0855, 5.1888, 1.6190, 7.6460, 5.5678, 1.7048, 7.3794
2615, 24.2400, baby_yoda, Juguetes, 5.2051, 1.6133, 7.6687, 0.0167, -0.8848, -0.0457, 5.1265, 1.6150, 7.5555, 0.0167, -0.8848, -0.0457, 5.1872, 1.6137, 7.6429, 5.5657, 1.6582, 7.3809
