Frame, Timestamp, Object, DurationUntilRelease, RightHand_State, LeftHand_State
2919, 28.4779, baby_yoda, 1.6393, Hover, Normal
3190, 32.2433, baby_yoda, 1.0019, Normal, Hover
9582, 121.0447, quemador, 1.2912, Normal, Normal
13998, 182.3757, Mochila, 2.2494, Normal, Normal
18363, 243.0008, balon, 3.7640, Normal, Normal
21439, 285.7327, smartwatch, 3.1529, Hover, Normal
22099, 294.9012, buds, 2.7226, Normal, Normal
