Frame,Timestamp,TaskDuration,Completed
614,8.5721,6.456,Yes
1544,21.4893,7.099,Yes
2603,36.2,13.6972,Yes
3798,52.7956,12.6926,Yes
4783,66.4776,7.8341,Yes
6336,88.0574,18.9001,Yes
7025,97.627,7.1685,Yes
8416,116.946,16.4739,Yes
9695,134.724,11.5561,Yes
11568,160.7373,23.2919,Yes
