Frame, Timestamp, Object, State, Handedness
880, 12.2669, Juguetes, Pointing, RightHanded
881, 12.2812, Juguetes, Pointing, RightHanded
882, 12.2945, Juguetes, Pointing, RightHanded
883, 12.3083, Juguetes, Pointing, RightHanded
884, 12.3232, Juguetes, Pointing, RightHanded
885, 12.3366, Juguetes, Pointing, RightHanded
886, 12.3492, Juguetes, Pointing, RightHanded
887, 12.3637, Juguetes, Pointing, RightHanded
888, 12.3787, Juguetes, Pointing, RightHanded
889, 12.3926, Juguetes, Pointing, RightHanded
890, 12.4050, Juguetes, Pointing, RightHanded
891, 12.4196, Juguetes, Pointing, RightHanded
892, 12.4320, Juguetes, Pointing, RightHanded
893, 12.4468, Juguetes, Pointing, RightHanded
894, 12.4609, Juguetes, Pointing, RightHanded
895, 12.4749, Juguetes, Pointing, RightHanded
896, 12.4883, Juguetes, Pointing, RightHanded
897, 12.5018, Juguetes, Pointing, RightHanded
898, 12.5160, Juguetes, Pointing, RightHanded
899, 12.5303, Juguetes, Pointing, RightHanded
900, 12.5444, Juguetes, Pointing, RightHanded
901, 12.5582, Juguetes, Pointing, RightHanded
902, 12.5720, Juguetes, Pointing, RightHanded
903, 12.5860, Juguetes, Pointing, RightHanded
904, 12.5999, Juguetes, Pointing, RightHanded
905, 12.6129, Juguetes, Pointing, RightHanded
906, 12.6275, Juguetes, Pointing, RightHanded
907, 12.6412, Juguetes, Pointing, RightHanded
908, 12.6551, Juguetes, Pointing, RightHanded
909, 12.6691, Juguetes, Pointing, RightHanded
910, 12.6841, Juguetes, Pointing, RightHanded
911, 12.6972, Juguetes, Pointing, RightHanded
912, 12.7105, Juguetes, Pointing, RightHanded
913, 12.7249, Juguetes, Pointing, RightHanded
914, 12.7390, Juguetes, Pointing, RightHanded
915, 12.7527, Juguetes, Pointing, RightHanded
916, 12.7669, Juguetes, Pointing, RightHanded
917, 12.7802, Juguetes, Pointing, RightHanded
918, 12.7940, Juguetes, Pointing, RightHanded
919, 12.8081, Juguetes, Pointing, RightHanded
920, 12.8228, Juguetes, Pointing, RightHanded
921, 12.8359, Juguetes, Pointing, RightHanded
922, 12.8497, Juguetes, Pointing, RightHanded
923, 12.8638, Juguetes, Pointing, RightHanded
924, 12.8776, Juguetes, Pointing, RightHanded
925, 12.8908, Juguetes, Pointing, RightHanded
926, 12.9059, Juguetes, Pointing, RightHanded
927, 12.9198, Juguetes, Pointing, RightHanded
928, 12.9327, Juguetes, Pointing, RightHanded
929, 12.9477, Juguetes, Pointing, RightHanded
930, 12.9620, Juguetes, Pointing, RightHanded
931, 12.9751, Juguetes, Pointing, RightHanded
932, 12.9884, Juguetes, Pointing, RightHanded
943, 13.1435, baby_yoda, Pointing, RightHanded
944, 13.1574, baby_yoda, Pointing, RightHanded
945, 13.1695, baby_yoda, Pointing, RightHanded
946, 13.1833, baby_yoda, Pointing, RightHanded
947, 13.1981, baby_yoda, Pointing, RightHanded
948, 13.2109, baby_yoda, Pointing, RightHanded
949, 13.2254, baby_yoda, Pointing, RightHanded
950, 13.2389, baby_yoda, Pointing, RightHanded
951, 13.2524, baby_yoda, Pointing, RightHanded
952, 13.2677, baby_yoda, Pointing, RightHanded
953, 13.2805, baby_yoda, Pointing, RightHanded
954, 13.2954, baby_yoda, Pointing, RightHanded
955, 13.3082, baby_yoda, Pointing, RightHanded
956, 13.3222, baby_yoda, Pointing, RightHanded
957, 13.3352, baby_yoda, Pointing, RightHanded
958, 13.3492, baby_yoda, Pointing, RightHanded
959, 13.3636, baby_yoda, Pointing, RightHanded
