Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
505, 7.0859, TP_Juguetes2_Adjacent, 4.5320, 9.6361, 0.2485, False, Unknown, 0.0000, Hover, Disabled
510, 7.1569, TP_Juguetes_Adjacent, 4.5302, 9.6443, 0.0709, False, Unknown, 0.0000, Hover, Disabled
579, 8.1137, TP_Juguetes_Adjacent, 4.5593, 9.6686, 0.8718, False, Unknown, 0.0000, Hover, Disabled
676, 9.4621, TP_Juguetes2_Adjacent, 4.5476, 9.6867, 1.3484, False, Unknown, 0.0000, Hover, Disabled
818, 11.4327, TP_Juguetes2_Adjacent, 4.5420, 9.6767, 1.6915, False, Unknown, 0.0000, Hover, Disabled
1030, 14.3774, TP_Juguetes2_Adjacent, 4.5671, 9.7617, 2.6674, False, Unknown, 0.0000, Hover, Disabled
1251, 17.4478, TP_Juguetes2_Adjacent, 4.3957, 9.7558, 2.5004, False, Unknown, 0.0000, Hover, Disabled
1302, 18.1572, TP_Juguetes2_Adjacent, 4.3973, 9.7543, 0.4867, False, Unknown, 0.0000, Hover, Disabled
1475, 20.5585, TP_Juguetes2_Adjacent, 4.4810, 9.6992, 0.3471, False, Unknown, 0.0000, Hover, Disabled
1596, 22.2431, TP_Juguetes2_Adjacent, 5.1932, 7.7111, 1.4207, True, Unknown, 1.9713, Select, Disabled
5810, 80.7943, TP_Mid_3, 5.1728, 7.7339, 0.5697, False, Unknown, 0.0000, Hover, Disabled
5983, 83.2086, TP_Mid_3, -1.1290, 7.1820, 2.1373, True, Unknown, 6.0912, Select, Disabled
6034, 83.9185, TP_Mid_6, -1.1167, 7.1738, 0.6950, False, Unknown, 0.0000, Hover, Disabled
6050, 84.1401, TP_Tecnologia_Adjacent, -1.0944, 7.1684, 0.0269, False, Unknown, 0.0000, Hover, Disabled
6060, 84.2794, TP_Mid_7, -1.0720, 7.1667, 0.1392, False, Unknown, 0.0000, Hover, Disabled
6104, 84.8894, TP_Mid_4, -0.9928, 7.1815, 0.3455, False, Unknown, 0.0000, Hover, Disabled
6171, 85.8213, TP_Mid_4, -1.0498, 7.1927, 0.3479, False, Unknown, 0.0000, Hover, Disabled
6220, 86.5012, TP_Decoracion2_Adjacent, -1.0545, 7.1959, 0.5968, False, Unknown, 0.0000, Hover, Disabled
6449, 89.6824, TP_Decoracion2_Adjacent, -4.4769, 4.9921, 3.1542, True, Unknown, 10.0525, Select, Disabled
6461, 89.8478, TP_Mid_7, -4.4752, 4.9928, 0.1516, False, Unknown, 0.0000, Hover, Disabled
8730, 121.3752, TP_Mid_2, -4.3947, 5.1068, 0.1532, False, Unknown, 0.0000, Hover, Disabled
8771, 121.9439, TP_Mid_2, -4.3907, 5.0947, 0.0691, False, Unknown, 0.0000, Hover, Disabled
8914, 123.9298, TP_Mid_5, 2.7808, 2.6871, 1.9302, True, Unknown, 7.0709, Select, Disabled
9543, 132.6663, TP_Moda2_Adjacent, 2.7548, 2.5980, 0.0695, False, Unknown, 0.0000, Hover, Disabled
9579, 133.1683, TP_Moda2_Adjacent, 2.7556, 2.5714, 0.2807, False, Unknown, 0.0000, Hover, Disabled
9721, 135.1384, TP_Moda2_Adjacent, 6.0310, 2.1530, 1.7222, True, Unknown, 7.5572, Select, Disabled
13023, 181.0399, TP_Mid, 5.9070, 1.9292, 2.7777, False, Unknown, 0.0000, Hover, Disabled
13209, 183.6244, TP_Mid, 5.9305, 1.9310, 2.1822, False, Unknown, 0.0000, Disabled, Disabled
13586, 188.8724, TP_Mid, 2.0900, 7.3578, 1.9296, True, Unknown, 3.2453, Select, Disabled
13662, 189.9274, TP_Mid_5, 2.1360, 7.3488, 0.5399, False, Unknown, 0.0000, Disabled, Disabled
14100, 196.0108, TP_Juguetes_Adjacent, 2.1402, 7.3240, 0.8336, False, Unknown, 0.0000, Hover, Disabled
14180, 197.1229, TP_Juguetes_Adjacent, 2.1433, 7.3171, 0.3755, False, Unknown, 0.0000, Hover, Disabled
14319, 199.0530, TP_Juguetes_Adjacent, 2.1328, 7.2940, 0.1520, False, Unknown, 0.0000, Hover, Disabled
14447, 200.8298, TP_Juguetes_Adjacent, 5.1940, 6.8281, 0.8882, True, Unknown, 2.8133, Select, Disabled
17507, 243.3586, TP_Mid_2, 5.1817, 6.8447, 0.0706, False, Unknown, 0.0000, Hover, Disabled
17570, 244.2323, TP_Mid_2, 5.1806, 6.8638, 0.0269, False, Unknown, 0.0000, Hover, Disabled
17574, 244.2883, TP_Mid_5, 5.1816, 6.8653, 0.0560, False, Unknown, 0.0000, Hover, Disabled
17611, 244.8032, TP_Mid_5, 5.1748, 6.8654, 0.3338, False, Unknown, 0.0000, Hover, Disabled
17697, 245.9969, TP_Mid_5, 2.7811, 2.6871, 1.0282, True, Unknown, 7.0708, Select, Disabled
17796, 247.3705, TP_Mid_6, 2.8389, 2.6516, 0.2495, False, Unknown, 0.0000, Hover, Disabled
17802, 247.4554, TP_Tecnologia2_Adjacent, 2.8471, 2.6460, 0.0558, False, Unknown, 0.0000, Hover, Disabled
17824, 247.7603, TP_Tecnologia_Adjacent, 2.8477, 2.6633, 0.0976, False, Unknown, 0.0000, Hover, Disabled
17832, 247.8716, TP_Mid_6, 2.8401, 2.6725, 0.4028, False, Unknown, 0.0000, Hover, Disabled
