Frame,Timestamp,TaskDuration,Completed
1746,24.3226,22.3599,Yes
3196,44.461,12.9724,Yes
5417,75.3218,29.181,No
6684,92.9466,23.4714,Yes
8166,113.5285,18.7762,Yes
10024,139.3461,22.1795,No
11173,155.3051,13.3478,Yes
14717,204.5809,43.221,No
15940,221.5655,15.6386,Yes
19366,269.224,44.9912,No
