Frame, Timestamp, HMD_x, HMD_y, HMD_z, HMD_rot_x, HMD_rot_y, HMD_rot_z, HandR_x, HandR_y, HandR_z, HandR_rot_x, HandR_rot_y, HandR_rot_z, HandL_x, HandL_y, HandL_z, HandL_rot_x, HandL_rot_y, HandL_rot_z, Velocity_HandR_x, Velocity_HandR_y, Velocity_HandR_z, Velocity_HandL_x, Velocity_HandL_y, Velocity_HandL_z, WristAngleLeft, WristAngleRight, Distance
18, 0.2765, 4.4954, 1.2760, 9.6594, 328.3358, 220.3025, 358.5811, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
19, 0.2908, 4.4965, 1.2760, 9.6586, 328.3064, 219.8420, 358.6747, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
20, 0.3067, 4.4971, 1.2764, 9.6581, 328.2025, 219.2473, 358.8463, 0.3077, 0.7989, -0.0659, 19.3786, 94.5066, 341.8835, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 19.4061, 50.3939, -4.1584, 0.0000, 0.0000, -3.4692, 0.0000, 200.3519, 0.0000
21, 0.3288, 4.4977, 1.2765, 9.6576, 328.0462, 218.3210, 359.0578, 0.3079, 0.7988, -0.0659, 19.5941, 93.9914, 341.5616, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0099, -0.0067, 0.0031, 0.0000, 0.0000, 0.0000, 0.0000, 170.2716, 0.0000
22, 0.3511, 4.4995, 1.2767, 9.6566, 327.8841, 216.9768, 359.4157, 0.3081, 0.7987, -0.0657, 19.7027, 93.7593, 341.6305, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0103, -0.0053, 0.0065, 0.0000, 0.0000, 0.0000, 0.0000, 170.2228, 0.0000
23, 0.3631, 4.5005, 1.2767, 9.6560, 327.7499, 216.1646, 359.6540, 0.3082, 0.7986, -0.0656, 19.7446, 93.6683, 341.6449, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0095, -0.0049, 0.0061, 0.0000, 0.0000, 0.0000, 0.0000, 170.2410, 0.0000
24, 0.3752, 4.5015, 1.2768, 9.6557, 327.6795, 215.3756, 359.8918, 0.3083, 0.7986, -0.0656, 19.7799, 93.5903, 341.6491, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0096, -0.0049, 0.0061, 0.0000, 0.0000, 0.0000, 0.0000, 170.2361, 0.0000
25, 0.3891, 4.5021, 1.2769, 9.6557, 327.5888, 214.6259, 0.1333, 0.3084, 0.7985, -0.0655, 19.8057, 93.5333, 341.6498, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0077, -0.0039, 0.0049, 0.0000, 0.0000, 0.0000, 0.0000, 170.2390, 0.0000
26, 0.4038, 4.5029, 1.2772, 9.6555, 327.5218, 214.0644, 0.3279, 0.3084, 0.7986, -0.0655, 19.8386, 93.5053, 341.7520, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0026, 0.0067, -0.0015, 0.0000, 0.0000, 0.0000, 0.0000, 170.2068, 0.0000
27, 0.4171, 4.5037, 1.2774, 9.6553, 327.4255, 213.4896, 0.5138, 0.3084, 0.7987, -0.0655, 19.8691, 93.4697, 341.8224, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0024, 0.0063, -0.0014, 0.0000, 0.0000, 0.0000, 0.0000, 170.1986, 0.0000
28, 0.4329, 4.5046, 1.2774, 9.6551, 327.2952, 213.0387, 0.5981, 0.3084, 0.7987, -0.0656, 19.9020, 93.6305, 342.0179, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0019, 0.0036, -0.0008, 0.0000, 0.0000, 0.0000, 0.0000, 170.1298, 0.0000
29, 0.4455, 4.5053, 1.2776, 9.6550, 327.1891, 212.6329, 0.6714, 0.3084, 0.7988, -0.0656, 19.9317, 93.7427, 342.1672, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0031, 0.0054, -0.0012, 0.0000, 0.0000, 0.0000, 0.0000, 170.0763, 0.0000
30, 0.4587, 4.5057, 1.2777, 9.6551, 327.0347, 212.3558, 0.7515, 0.3085, 0.7989, -0.0656, 19.9615, 93.8309, 342.2966, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0034, 0.0058, -0.0013, 0.0000, 0.0000, 0.0000, 0.0000, 170.0293, 0.0000
31, 0.4723, 4.5062, 1.2780, 9.6552, 326.9604, 212.2180, 0.8563, 0.3074, 0.8002, -0.0661, 20.1123, 93.6327, 341.9810, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0803, 0.0971, -0.0343, 0.0000, 0.0000, 0.0000, 0.0000, 169.8413, 0.0000
32, 0.4870, 4.5067, 1.2780, 9.6552, 326.8459, 212.2203, 0.9403, 0.3059, 0.8020, -0.0667, 20.2704, 93.4255, 341.6660, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.1038, 0.1250, -0.0442, 0.0000, 0.0000, 0.0000, 0.0000, 169.6341, 0.0000
33, 0.5021, 4.5072, 1.2781, 9.6552, 326.8235, 212.1181, 1.1093, 0.3043, 0.8039, -0.0673, 20.4218, 93.2281, 341.3800, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.1007, 0.1207, -0.0428, 0.0000, 0.0000, 0.0000, 0.0000, 169.4176, 0.0000
34, 0.5145, 4.5075, 1.2780, 9.6552, 326.7574, 212.0871, 1.1826, 0.3028, 0.8057, -0.0674, 20.6750, 93.1016, 340.9984, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.1239, 0.1437, -0.0011, 0.0000, 0.0000, 0.0000, 0.0000, 169.0480, 0.0000
35, 0.5275, 4.5077, 1.2779, 9.6554, 326.7062, 212.1378, 1.1717, 0.3014, 0.8072, -0.0674, 20.8893, 92.9833, 340.6839, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.1055, 0.1218, -0.0023, 0.0000, 0.0000, 0.0000, 0.0000, 168.7227, 0.0000
36, 0.5420, 4.5077, 1.2779, 9.6559, 326.6145, 212.3582, 1.1653, 0.3003, 0.8085, -0.0674, 21.0680, 92.8758, 340.4290, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0768, 0.0885, -0.0023, 0.0000, 0.0000, 0.0000, 0.0000, 168.4461, 0.0000
