Frame,Timestamp,TaskDuration,Completed
512,7.1511,5.013,Yes
1278,17.7888,8.151,Yes
1822,25.3457,6.0833,Yes
2370,32.9829,6.4333,Yes
2995,41.6661,6.9464,Yes
3922,54.5409,12.0289,Yes
4495,62.498,8.1522,Yes
5726,79.6084,18.4384,Yes
6795,94.4556,12.8877,Yes
8752,121.6352,24.4985,Yes
