Frame,Timestamp,TaskDuration,Completed
1191,13.7376,7.6799,Yes
2034,25.4454,9.1244,Yes
4194,55.4452,18.7632,Yes
5905,79.2078,22.4848,Yes
6848,92.3057,12.4031,No
8566,116.1791,21.3044,Yes
9317,126.6079,8.9578,Yes
11504,156.996,27.3738,Yes
12620,172.4975,12.1683,Yes
15449,211.7874,35.5804,Yes
