Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
837, 8.8226, TP_Juguetes_2, 4.4354, 9.6744, 1.4222, False, Unknown, 0.0000, Hover, Disabled
861, 9.1560, TP_Juguetes, 4.4351, 9.6751, 0.3334, False, Unknown, 0.0000, Hover, Disabled
898, 9.6696, TP_Juguetes, 4.4379, 9.6760, 0.4031, False, Unknown, 0.0000, Hover, Disabled
1013, 11.2703, TP_Juguetes_2, 5.0260, 7.7050, 1.9072, True, Unknown, 1.6858, Select, Disabled
3178, 41.3346, TP_Moda, 4.9708, 7.7226, 0.0133, False, Unknown, 0.0000, Disabled, Disabled
3224, 41.9739, TP_Moda, 4.9590, 7.7299, 0.6262, False, Unknown, 0.0000, Hover, Disabled
3247, 42.2924, TP_Mid_2, 4.9384, 7.7486, 0.2761, False, Unknown, 0.0000, Hover, Disabled
3277, 42.7099, TP_Mid, 4.9229, 7.7696, 0.1811, False, Unknown, 0.0000, Hover, Disabled
3333, 43.4869, TP_Mid, 4.9092, 7.8216, 0.4995, False, Unknown, 0.0000, Disabled, Disabled
3369, 43.9879, TP_Mid, 4.9182, 7.8247, 0.4869, False, Unknown, 0.0000, Disabled, Disabled
3506, 45.8899, TP_Mid, 4.9227, 7.8072, 0.1521, False, Unknown, 0.0000, Disabled, Disabled
3805, 50.0421, TP_Mid, 4.8989, 7.8300, 0.4583, False, Unknown, 0.0000, Disabled, Hover
3823, 50.2918, TP_Mid_2, 4.9031, 7.8279, 0.1114, False, Unknown, 0.0000, Disabled, Hover
3869, 50.9308, TP_Mid, 4.9040, 7.8215, 0.0135, False, Unknown, 0.0000, Disabled, Hover
3906, 51.4452, TP_Mid, 4.9061, 7.8168, 0.4998, False, Unknown, 0.0000, Disabled, Disabled
3943, 51.9594, TP_Mid, 4.9052, 7.8169, 0.4169, False, Unknown, 0.0000, Disabled, Disabled
4508, 59.8069, TP_Mid_3, 4.9093, 7.8357, 0.7369, False, Unknown, 0.0000, Hover, Disabled
4660, 61.9169, TP_Mid_3, -1.4740, 6.8430, 2.0121, True, Unknown, 6.4410, Select, Disabled
5105, 68.0962, TP_Comida, -1.4118, 6.8707, 0.1382, False, Unknown, 0.0000, Disabled, Hover
5141, 68.5967, TP_Comida, -1.4155, 6.8693, 0.1257, False, Unknown, 0.0000, Disabled, Hover
5615, 75.1804, TP_Decoracion_2, -5.3650, 5.1509, 1.8738, True, Unknown, 10.6836, Select, Disabled
5732, 76.8054, TP_Decoracion_3, -5.3749, 5.2127, 0.0145, False, Unknown, 0.0000, Disabled, Disabled
5768, 77.3061, TP_Decoracion_3, -5.3721, 5.2117, 0.4873, False, Unknown, 0.0000, Disabled, Disabled
7203, 97.2477, TP_Mid_4, -5.2882, 5.2372, 0.6731, False, Unknown, 0.0000, Hover, Disabled
7302, 98.6250, TP_Mid_4, -5.2830, 5.2593, 0.4182, False, Unknown, 0.0000, Hover, Disabled
7331, 99.0277, TP_Mid_2, -5.2722, 5.2857, 0.1396, False, Unknown, 0.0000, Hover, Disabled
7498, 101.3454, TP_Mid_2, -5.2747, 5.2666, 1.9977, False, Unknown, 0.0000, Hover, Disabled
7710, 104.2895, TP_Mid_2, 2.0900, 4.4500, 1.9994, True, Unknown, 5.4069, Select, Disabled
7780, 105.2622, TP_Comida_4, 2.0824, 4.4407, 0.0142, False, Unknown, 0.0000, Disabled, Disabled
7816, 105.7626, TP_Comida_4, 2.0848, 4.4385, 0.4855, False, Unknown, 0.0000, Disabled, Disabled
7853, 106.2754, TP_Comida_4, 2.0893, 4.4382, 0.3599, False, Unknown, 0.0000, Disabled, Disabled
8188, 110.9288, TP_Moda_2, 5.8930, 2.0390, 2.0136, True, Unknown, 7.3972, Select, Disabled
10215, 139.0817, TP_Moda, 5.8652, 2.0115, 0.0140, False, Unknown, 0.0000, Disabled, Disabled
10251, 139.5832, TP_Moda, 5.8630, 2.0079, 0.4871, False, Unknown, 0.0000, Disabled, Disabled
10516, 143.2631, TP_Mid_3, 5.8698, 2.1240, 0.0271, False, Unknown, 0.0000, Hover, Disabled
10547, 143.6934, TP_Mid, 5.8795, 2.1337, 0.4155, False, Unknown, 0.0000, Hover, Disabled
10562, 143.9033, TP_Mid_3, 5.8794, 2.1316, 0.1265, False, Unknown, 0.0000, Hover, Disabled
10716, 146.0407, TP_Mid, 2.0901, 7.3580, 2.0143, True, Unknown, 3.0795, Select, Disabled
10783, 146.9703, TP_Comida_4, 2.1158, 7.3674, 0.0132, False, Unknown, 0.0000, Disabled, Disabled
10820, 147.4845, TP_Comida_4, 2.1135, 7.3647, 0.4990, False, Unknown, 0.0000, Disabled, Disabled
10903, 148.6367, TP_Moda_2, 2.1211, 7.3676, 0.0135, False, Unknown, 0.0000, Disabled, Disabled
10939, 149.1372, TP_Moda_2, 2.1427, 7.3823, 0.4865, False, Unknown, 0.0000, Disabled, Disabled
10980, 149.7060, TP_Moda, 2.1677, 7.3949, 0.0146, False, Unknown, 0.0000, Disabled, Disabled
10998, 149.9560, TP_Juguetes, 2.1668, 7.3931, 0.0142, False, Unknown, 0.0000, Disabled, Disabled
11034, 150.4562, TP_Juguetes, 2.1759, 7.3996, 0.4861, False, Unknown, 0.0000, Disabled, Disabled
11300, 154.1621, TP_Juguetes, 5.0371, 6.4330, 2.0130, True, Unknown, 2.9206, Select, Disabled
13106, 179.2475, TP_Moda_2, 5.0387, 6.3623, 0.0145, False, Unknown, 0.0000, Disabled, Disabled
