Frame,Timestamp,TaskDuration,Completed
3109,41.8545,22.3571,Yes
4443,60.382,12.0689,Yes
7302,100.0913,38.5146,No
8690,119.3662,20.3579,Yes
9852,135.5063,14.9999,Yes
11960,164.7828,27.3736,No
12795,176.3797,12.4303,No
15055,207.7661,29.9982,No
16368,222.8348,14.0415,Yes
18956,261.9463,36.9446,No
