Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
1165, 14.8585, TP_Juguetes_Adjacent, 4.4663, 9.6375, 0.9290, False, Unknown, 0.0000, Hover, Disabled
1251, 16.0516, TP_Juguetes_Adjacent, 4.4677, 9.6370, 1.1527, False, Unknown, 0.0000, Hover, Disabled
1308, 16.8439, TP_Juguetes_Adjacent, 4.4666, 9.6374, 0.6538, False, Unknown, 0.0000, Hover, Disabled
1344, 17.3439, TP_Juguetes_Adjacent, 4.4653, 9.6379, 0.4168, False, Unknown, 0.0000, Hover, Disabled
1517, 19.7469, TP_Juguetes_Adjacent, 4.4661, 9.6383, 2.3346, False, Unknown, 0.0000, Hover, Disabled
1551, 20.2184, TP_Juguetes2_Adjacent, 4.4371, 9.6321, 0.4714, False, Unknown, 0.0000, Hover, Disabled
1742, 22.8707, TP_Juguetes2_Adjacent, 4.4222, 9.6344, 1.6383, False, Unknown, 0.0000, Hover, Disabled
1799, 23.6634, TP_Juguetes_Adjacent, 4.4219, 9.6348, 0.7927, False, Unknown, 0.0000, Hover, Disabled
1849, 24.3584, TP_Juguetes2_Adjacent, 4.4217, 9.6342, 0.6950, False, Unknown, 0.0000, Hover, Disabled
1925, 25.4123, TP_Juguetes_Adjacent, 4.4220, 9.6344, 1.0539, False, Unknown, 0.0000, Hover, Disabled
1932, 25.5103, TP_Juguetes2_Adjacent, 4.4219, 9.6343, 0.0980, False, Unknown, 0.0000, Hover, Disabled
1961, 25.9125, TP_Juguetes_Adjacent, 4.4216, 9.6345, 0.4021, False, Unknown, 0.0000, Hover, Disabled
2007, 26.5507, TP_Juguetes2_Adjacent, 4.4208, 9.6350, 1.0270, False, Unknown, 0.0000, Hover, Disabled
2025, 26.8016, TP_Juguetes_Adjacent, 4.4207, 9.6350, 0.2509, False, Unknown, 0.0000, Hover, Disabled
2043, 27.0513, TP_Juguetes2_Adjacent, 4.4210, 9.6348, 0.2498, False, Unknown, 0.0000, Hover, Disabled
2077, 27.5246, TP_Juguetes_Adjacent, 4.4213, 9.6347, 0.7093, False, Unknown, 0.0000, Hover, Disabled
2130, 28.2601, TP_Juguetes_Adjacent, 4.4208, 9.6352, 0.6806, False, Unknown, 0.0000, Hover, Disabled
2145, 28.4687, TP_Juguetes2_Adjacent, 4.4205, 9.6352, 0.2087, False, Unknown, 0.0000, Hover, Disabled
2181, 28.9680, TP_Juguetes_Adjacent, 4.4207, 9.6352, 0.4993, False, Unknown, 0.0000, Hover, Disabled
2262, 30.0933, TP_Juguetes2_Adjacent, 4.4215, 9.6353, 1.4035, False, Unknown, 0.0000, Hover, Disabled
2272, 30.2319, TP_Juguetes_Adjacent, 4.4222, 9.6352, 0.1387, False, Unknown, 0.0000, Hover, Disabled
2471, 32.9953, TP_Juguetes2_Adjacent, 4.4332, 9.6455, 0.0974, False, Unknown, 0.0000, Disabled, Hover
2512, 33.5653, TP_Juguetes2_Adjacent, 4.4764, 9.6820, 0.0818, False, Unknown, 0.0000, Disabled, Hover
2528, 33.7872, TP_Juguetes_Adjacent, 4.4804, 9.6678, 0.2219, False, Unknown, 0.0000, Disabled, Hover
2803, 37.6068, TP_Juguetes2_Adjacent, 4.4698, 9.6695, 3.8196, False, Unknown, 0.0000, Disabled, Hover
2814, 37.7589, TP_Juguetes_Adjacent, 4.4692, 9.6695, 0.1521, False, Unknown, 0.0000, Disabled, Hover
2918, 39.2073, TP_Juguetes2_Adjacent, 5.1939, 7.7099, 1.4484, True, Unknown, 1.9726, Disabled, Select
7226, 99.0349, TP_Mid, 5.2364, 7.6989, 0.6797, False, Unknown, 0.0000, Disabled, Disabled
8137, 111.6876, TP_Mid_3, -1.1291, 7.1820, 6.6941, True, Unknown, 6.0912, Disabled, Select
8223, 112.8820, TP_Mid_4, -1.1893, 7.1990, 0.3052, False, Unknown, 0.0000, Disabled, Hover
8327, 114.3273, TP_Mid_4, -1.2311, 7.2180, 0.5840, False, Unknown, 0.0000, Disabled, Hover
8552, 117.4502, TP_Decoracion2_Adjacent, -4.4770, 4.9920, 1.9997, True, Unknown, 10.0527, Disabled, Select
8574, 117.7569, TP_Decoracion3_Adjacent, -4.4752, 4.9937, 0.2785, False, Unknown, 0.0000, Disabled, Hover
10955, 150.8250, TP_Mid_5, -4.4216, 4.9995, 1.1659, False, Unknown, 0.0000, Disabled, Hover
10973, 151.0776, TP_Mid_2, -4.4220, 4.9919, 0.1555, False, Unknown, 0.0000, Disabled, Hover
11144, 153.4498, TP_Mid_4, -4.4511, 5.0116, 0.4295, False, Unknown, 0.0000, Disabled, Hover
