Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
2951, 39.6600, Top, ShelfToys, 5.1807, 1.6267, 7.7257, 0.0521, -0.7460, -0.1932, 5.1548, 1.6498, 7.5923, 0.0521, -0.7460, -0.1932, 5.1748, 1.6320, 7.6953, 5.3973, 1.7170, 7.6669
2953, 39.6800, Top, ShelfToys, 5.1786, 1.6296, 7.7226, 0.0663, -0.7516, -0.2101, 5.1486, 1.6518, 7.5900, 0.0663, -0.7516, -0.2101, 5.1718, 1.6346, 7.6924, 5.3973, 1.7337, 7.6579
2954, 39.7000, Top, ShelfToys, 5.1781, 1.6309, 7.7208, 0.0718, -0.7543, -0.2171, 5.1460, 1.6528, 7.5886, 0.0718, -0.7543, -0.2171, 5.1708, 1.6359, 7.6907, 5.3973, 1.7409, 7.6532
2956, 39.7200, Top, ShelfToys, 5.1762, 1.6332, 7.7175, 0.0860, -0.7602, -0.2305, 5.1400, 1.6534, 7.5860, 0.0860, -0.7602, -0.2305, 5.1679, 1.6378, 7.6875, 5.3973, 1.7569, 7.6427
2957, 39.7400, Top, ShelfToys, 5.1752, 1.6343, 7.7152, 0.0916, -0.7638, -0.2351, 5.1369, 1.6535, 7.5842, 0.0916, -0.7638, -0.2351, 5.1665, 1.6387, 7.6853, 5.3973, 1.7637, 7.6363
2959, 39.7600, Top, ShelfToys, 5.1740, 1.6357, 7.7112, 0.0996, -0.7708, -0.2431, 5.1318, 1.6534, 7.5813, 0.0996, -0.7708, -0.2431, 5.1644, 1.6398, 7.6816, 5.3973, 1.7747, 7.6243
2960, 39.7800, Top, ShelfToys, 5.1733, 1.6361, 7.7093, 0.1040, -0.7734, -0.2463, 5.1295, 1.6530, 7.5797, 0.1040, -0.7734, -0.2463, 5.1633, 1.6400, 7.6798, 5.3973, 1.7798, 7.6189
2961, 39.8000, Top, ShelfToys, 5.1724, 1.6369, 7.7075, 0.1080, -0.7757, -0.2487, 5.1274, 1.6529, 7.5782, 0.1080, -0.7757, -0.2487, 5.1622, 1.6405, 7.6780, 5.3973, 1.7846, 7.6138
2963, 39.8200, Top, ShelfToys, 5.1709, 1.6388, 7.7039, 0.1181, -0.7796, -0.2530, 5.1235, 1.6525, 7.5752, 0.1181, -0.7796, -0.2530, 5.1601, 1.6419, 7.6746, 5.3973, 1.7954, 7.6036
2964, 39.8400, Top, ShelfToys, 5.1698, 1.6397, 7.7020, 0.1231, -0.7821, -0.2546, 5.1211, 1.6521, 7.5737, 0.1231, -0.7821, -0.2546, 5.1587, 1.6425, 7.6728, 5.3973, 1.8010, 7.5976
2966, 39.8600, Top, ShelfToys, 5.1683, 1.6413, 7.6985, 0.1315, -0.7882, -0.2580, 5.1165, 1.6514, 7.5711, 0.1315, -0.7882, -0.2580, 5.1565, 1.6436, 7.6694, 5.3973, 1.8115, 7.5848
2967, 39.8800, Top, ShelfToys, 5.1674, 1.6421, 7.6966, 0.1353, -0.7907, -0.2597, 5.1144, 1.6512, 7.5697, 0.1353, -0.7907, -0.2597, 5.1554, 1.6442, 7.6677, 5.3973, 1.8167, 7.5787
2969, 39.9000, Top, ShelfToys, 5.1653, 1.6435, 7.6932, 0.1443, -0.7962, -0.2626, 5.1094, 1.6498, 7.5674, 0.1443, -0.7962, -0.2626, 5.1526, 1.6449, 7.6645, 5.3973, 1.8282, 7.5650
2970, 39.9200, Top, ShelfToys, 5.1642, 1.6443, 7.6914, 0.1475, -0.8002, -0.2636, 5.1063, 1.6494, 7.5664, 0.1475, -0.8002, -0.2636, 5.1510, 1.6454, 7.6629, 5.3973, 1.8339, 7.5567
2972, 39.9400, Top, ShelfToys, 5.1621, 1.6451, 7.6880, 0.1518, -0.8079, -0.2663, 5.1005, 1.6482, 7.5647, 0.1518, -0.8079, -0.2663, 5.1480, 1.6458, 7.6599, 5.3973, 1.8442, 7.5403
2973, 39.9600, Top, ShelfToys, 5.1610, 1.6457, 7.6864, 0.1536, -0.8110, -0.2669, 5.0979, 1.6479, 7.5639, 0.1536, -0.8110, -0.2669, 5.1466, 1.6462, 7.6585, 5.3973, 1.8487, 7.5332
2974, 39.9800, Top, ShelfToys, 5.1600, 1.6461, 7.6851, 0.1559, -0.8131, -0.2684, 5.0957, 1.6476, 7.5632, 0.1559, -0.8131, -0.2684, 5.1453, 1.6464, 7.6573, 5.3973, 1.8538, 7.5269
2976, 40.0000, Top, ShelfToys, 5.1578, 1.6469, 7.6830, 0.1605, -0.8170, -0.2700, 5.0915, 1.6467, 7.5622, 0.1605, -0.8170, -0.2700, 5.1427, 1.6469, 7.6555, 5.3973, 1.8627, 7.5156
2977, 40.0200, Top, ShelfToys, 5.1568, 1.6470, 7.6820, 0.1625, -0.8185, -0.2708, 5.0898, 1.6461, 7.5616, 0.1625, -0.8185, -0.2708, 5.1415, 1.6468, 7.6546, 5.3973, 1.8665, 7.5106
2979, 40.0400, Top, ShelfToys, 5.1551, 1.6474, 7.6799, 0.1653, -0.8211, -0.2723, 5.0866, 1.6455, 7.5603, 0.1653, -0.8211, -0.2723, 5.1395, 1.6470, 7.6527, 5.3973, 1.8733, 7.5015
2980, 40.0600, Top, ShelfToys, 5.1540, 1.6476, 7.6791, 0.1669, -0.8226, -0.2731, 5.0847, 1.6451, 7.5599, 0.1669, -0.8226, -0.2731, 5.1382, 1.6470, 7.6519, 5.3973, 1.8773, 7.4965
2982, 40.0800, Top, ShelfToys, 5.1521, 1.6480, 7.6769, 0.1710, -0.8266, -0.2745, 5.0808, 1.6439, 7.5591, 0.1710, -0.8266, -0.2745, 5.1359, 1.6471, 7.6501, 5.3973, 1.8866, 7.4835
2983, 40.1000, Top, ShelfToys, 5.1513, 1.6482, 7.6758, 0.1726, -0.8291, -0.2749, 5.0788, 1.6432, 7.5587, 0.1726, -0.8291, -0.2749, 5.1348, 1.6470, 7.6491, 5.3973, 1.8908, 7.4764
2985, 40.1200, Top, ShelfToys, 5.1495, 1.6487, 7.6739, 0.1757, -0.8332, -0.2758, 5.0750, 1.6422, 7.5581, 0.1757, -0.8332, -0.2758, 5.1326, 1.6472, 7.6475, 5.3973, 1.8997, 7.4630
2986, 40.1400, Top, ShelfToys, 5.1488, 1.6487, 7.6729, 0.1784, -0.8348, -0.2765, 5.0735, 1.6413, 7.5578, 0.1784, -0.8348, -0.2765, 5.1317, 1.6470, 7.6467, 5.3973, 1.9047, 7.4564
2987, 40.1600, Top, ShelfToys, 5.1482, 1.6489, 7.6719, 0.1804, -0.8366, -0.2771, 5.0719, 1.6407, 7.5574, 0.1804, -0.8366, -0.2771, 5.1308, 1.6470, 7.6458, 5.3973, 1.9095, 7.4494
2989, 40.1800, Top, ShelfToys, 5.1474, 1.6492, 7.6698, 0.1837, -0.8408, -0.2784, 5.0690, 1.6394, 7.5569, 0.1837, -0.8408, -0.2784, 5.1295, 1.6470, 7.6441, 5.3973, 1.9192, 7.4345
2990, 40.2000, Top, ShelfToys, 5.1473, 1.6494, 7.6690, 0.1851, -0.8427, -0.2791, 5.0679, 1.6388, 7.5569, 0.1851, -0.8427, -0.2791, 5.1292, 1.6470, 7.6435, 5.3973, 1.9236, 7.4276
2992, 40.2200, Top, ShelfToys, 5.1470, 1.6498, 7.6673, 0.1887, -0.8450, -0.2803, 5.0663, 1.6379, 7.5562, 0.1887, -0.8450, -0.2803, 5.1286, 1.6471, 7.6420, 5.3973, 1.9318, 7.4163
2993, 40.2400, Top, ShelfToys, 5.1469, 1.6498, 7.6666, 0.1899, -0.8462, -0.2810, 5.0656, 1.6373, 7.5561, 0.1899, -0.8462, -0.2810, 5.1283, 1.6469, 7.6414, 5.3973, 1.9354, 7.4112
2995, 40.2600, Top, ShelfToys, 5.1470, 1.6497, 7.6651, 0.1910, -0.8490, -0.2818, 5.0642, 1.6364, 7.5557, 0.1910, -0.8490, -0.2818, 5.1281, 1.6467, 7.6402, 5.3973, 1.9411, 7.4008
2996, 40.2800, Top, ShelfToys, 5.1472, 1.6498, 7.6644, 0.1909, -0.8505, -0.2819, 5.0637, 1.6362, 7.5556, 0.1909, -0.8505, -0.2819, 5.1281, 1.6467, 7.6396, 5.3973, 1.9432, 7.3960
2997, 40.3000, Top, ShelfToys, 5.1473, 1.6497, 7.6636, 0.1909, -0.8524, -0.2820, 5.0630, 1.6357, 7.5555, 0.1909, -0.8524, -0.2820, 5.1281, 1.6465, 7.6390, 5.3973, 1.9456, 7.3901
2999, 40.3200, Top, ShelfToys, 5.1476, 1.6497, 7.6616, 0.1901, -0.8565, -0.2817, 5.0614, 1.6350, 7.5552, 0.1901, -0.8565, -0.2817, 5.1280, 1.6464, 7.6374, 5.3973, 1.9504, 7.3771
3000, 40.3400, Top, ShelfToys, 5.1481, 1.6497, 7.6608, 0.1898, -0.8590, -0.2814, 5.0607, 1.6344, 7.5553, 0.1898, -0.8590, -0.2814, 5.1281, 1.6462, 7.6367, 5.3973, 1.9531, 7.3695
3002, 40.3600, Top, ShelfToys, 5.1485, 1.6494, 7.6590, 0.1887, -0.8631, -0.2813, 5.0592, 1.6335, 7.5553, 0.1887, -0.8631, -0.2813, 5.1282, 1.6458, 7.6354, 5.3973, 1.9580, 7.3559
3003, 40.3800, Top, ShelfToys, 5.1489, 1.6493, 7.6582, 0.1880, -0.8655, -0.2809, 5.0585, 1.6330, 7.5555, 0.1880, -0.8655, -0.2809, 5.1283, 1.6456, 7.6348, 5.3973, 1.9604, 7.3482
3005, 40.4000, Top, ShelfToys, 5.1501, 1.6489, 7.6560, 0.1859, -0.8700, -0.2798, 5.0577, 1.6321, 7.5551, 0.1859, -0.8700, -0.2798, 5.1290, 1.6450, 7.6330, 5.3973, 1.9632, 7.3343
3006, 40.4200, Top, ShelfToys, 5.1508, 1.6485, 7.6549, 0.1845, -0.8725, -0.2790, 5.0573, 1.6316, 7.5551, 0.1845, -0.8725, -0.2790, 5.1295, 1.6447, 7.6322, 5.3973, 1.9640, 7.3271
3008, 40.4400, Top, ShelfToys, 5.1524, 1.6481, 7.6525, 0.1819, -0.8778, -0.2754, 5.0569, 1.6304, 7.5547, 0.1819, -0.8778, -0.2754, 5.1307, 1.6441, 7.6302, 5.3973, 1.9633, 7.3123
3009, 40.4600, Top, ShelfToys, 5.1533, 1.6479, 7.6512, 0.1801, -0.8802, -0.2741, 5.0568, 1.6301, 7.5544, 0.1801, -0.8802, -0.2741, 5.1313, 1.6438, 7.6291, 5.3973, 1.9629, 7.3056
3011, 40.4800, Top, ShelfToys, 5.1550, 1.6473, 7.6492, 0.1776, -0.8841, -0.2722, 5.0569, 1.6292, 7.5541, 0.1776, -0.8841, -0.2722, 5.1326, 1.6432, 7.6275, 5.3973, 1.9630, 7.2940
3012, 40.5000, Top, ShelfToys, 5.1556, 1.6471, 7.6482, 0.1762, -0.8856, -0.2713, 5.0570, 1.6291, 7.5537, 0.1762, -0.8856, -0.2713, 5.1332, 1.6430, 7.6267, 5.3973, 1.9624, 7.2899
3013, 40.5200, Top, ShelfToys, 5.1566, 1.6469, 7.6474, 0.1747, -0.8873, -0.2704, 5.0573, 1.6288, 7.5536, 0.1747, -0.8873, -0.2704, 5.1340, 1.6427, 7.6260, 5.3973, 1.9615, 7.2857
3015, 40.5400, Top, ShelfToys, 5.1586, 1.6461, 7.6460, 0.1713, -0.8897, -0.2702, 5.0581, 1.6284, 7.5534, 0.1713, -0.8897, -0.2702, 5.1357, 1.6421, 7.6249, 5.3973, 1.9604, 7.2800
3016, 40.5600, Top, ShelfToys, 5.1594, 1.6460, 7.6455, 0.1695, -0.8904, -0.2710, 5.0585, 1.6286, 7.5533, 0.1695, -0.8904, -0.2710, 5.1364, 1.6421, 7.6245, 5.3973, 1.9605, 7.2789
3018, 40.5800, Top, ShelfToys, 5.1609, 1.6460, 7.6454, 0.1669, -0.8902, -0.2737, 5.0596, 1.6295, 7.5533, 0.1669, -0.8902, -0.2737, 5.1378, 1.6423, 7.6244, 5.3973, 1.9608, 7.2817
3019, 40.6000, Top, ShelfToys, 5.1614, 1.6459, 7.6454, 0.1656, -0.8897, -0.2752, 5.0601, 1.6299, 7.5532, 0.1656, -0.8897, -0.2752, 5.1383, 1.6422, 7.6244, 5.3973, 1.9603, 7.2845
3021, 40.6200, Top, ShelfToys, 5.1621, 1.6456, 7.6456, 0.1627, -0.8900, -0.2766, 5.0605, 1.6304, 7.5537, 0.1627, -0.8900, -0.2766, 5.1389, 1.6421, 7.6247, 5.3973, 1.9594, 7.2865
3022, 40.6400, Top, ShelfToys, 5.1625, 1.6456, 7.6456, 0.1609, -0.8907, -0.2762, 5.0606, 1.6307, 7.5540, 0.1609, -0.8907, -0.2762, 5.1392, 1.6422, 7.6248, 5.3973, 1.9581, 7.2863
3023, 40.6600, Top, ShelfToys, 5.1629, 1.6454, 7.6456, 0.1593, -0.8915, -0.2754, 5.0608, 1.6308, 7.5543, 0.1593, -0.8915, -0.2754, 5.1396, 1.6421, 7.6248, 5.3973, 1.9559, 7.2864
3025, 40.6800, Top, ShelfToys, 5.1635, 1.6450, 7.6456, 0.1564, -0.8931, -0.2737, 5.0608, 1.6307, 7.5548, 0.1564, -0.8931, -0.2737, 5.1401, 1.6418, 7.6249, 5.3973, 1.9527, 7.2850
3026, 40.7000, Top, ShelfToys, 5.1638, 1.6448, 7.6458, 0.1546, -0.8942, -0.2731, 5.0606, 1.6308, 7.5555, 0.1546, -0.8942, -0.2731, 5.1402, 1.6416, 7.6252, 5.3973, 1.9519, 7.2833
3028, 40.7200, Top, ShelfToys, 5.1643, 1.6446, 7.6457, 0.1508, -0.8961, -0.2721, 5.0603, 1.6311, 7.5562, 0.1508, -0.8961, -0.2721, 5.1406, 1.6415, 7.6253, 5.3973, 1.9499, 7.2807
3029, 40.7400, Top, ShelfToys, 5.1644, 1.6444, 7.6458, 0.1492, -0.8966, -0.2719, 5.0602, 1.6312, 7.5565, 0.1492, -0.8966, -0.2719, 5.1406, 1.6414, 7.6254, 5.3973, 1.9492, 7.2803
3031, 40.7600, Top, ShelfToys, 5.1644, 1.6443, 7.6466, 0.1468, -0.8966, -0.2735, 5.0601, 1.6319, 7.5575, 0.1468, -0.8966, -0.2735, 5.1407, 1.6415, 7.6263, 5.3973, 1.9494, 7.2827
3032, 40.7800, Top, ShelfToys, 5.1644, 1.6442, 7.6470, 0.1464, -0.8961, -0.2750, 5.0600, 1.6321, 7.5579, 0.1464, -0.8961, -0.2750, 5.1406, 1.6415, 7.6267, 5.3973, 1.9506, 7.2840
3034, 40.8000, Top, ShelfToys, 5.1644, 1.6441, 7.6480, 0.1459, -0.8958, -0.2764, 5.0600, 1.6322, 7.5589, 0.1459, -0.8958, -0.2764, 5.1406, 1.6414, 7.6277, 5.3973, 1.9519, 7.2855
3035, 40.8200, Top, ShelfToys, 5.1643, 1.6442, 7.6485, 0.1461, -0.8954, -0.2768, 5.0600, 1.6323, 7.5593, 0.1461, -0.8954, -0.2768, 5.1405, 1.6415, 7.6282, 5.3973, 1.9522, 7.2868
3036, 40.8400, Top, ShelfToys, 5.1641, 1.6443, 7.6491, 0.1459, -0.8950, -0.2778, 5.0599, 1.6326, 7.5597, 0.1459, -0.8950, -0.2778, 5.1404, 1.6416, 7.6288, 5.3973, 1.9531, 7.2883
3038, 40.8600, Top, ShelfToys, 5.1634, 1.6444, 7.6503, 0.1449, -0.8943, -0.2801, 5.0592, 1.6332, 7.5609, 0.1449, -0.8943, -0.2801, 5.1396, 1.6419, 7.6299, 5.3973, 1.9559, 7.2903
3039, 40.8800, Top, ShelfToys, 5.1631, 1.6443, 7.6507, 0.1447, -0.8941, -0.2812, 5.0588, 1.6332, 7.5613, 0.1447, -0.8941, -0.2812, 5.1394, 1.6418, 7.6304, 5.3973, 1.9574, 7.2904
3041, 40.9000, Top, ShelfToys, 5.1628, 1.6443, 7.6515, 0.1454, -0.8940, -0.2816, 5.0585, 1.6331, 7.5621, 0.1454, -0.8940, -0.2816, 5.1390, 1.6418, 7.6311, 5.3973, 1.9593, 7.2896
3042, 40.9200, Top, ShelfToys, 5.1626, 1.6444, 7.6519, 0.1458, -0.8939, -0.2815, 5.0584, 1.6330, 7.5625, 0.1458, -0.8939, -0.2815, 5.1389, 1.6418, 7.6315, 5.3973, 1.9596, 7.2898
3044, 40.9400, Top, ShelfToys, 5.1624, 1.6445, 7.6525, 0.1457, -0.8938, -0.2820, 5.0581, 1.6332, 7.5631, 0.1457, -0.8938, -0.2820, 5.1386, 1.6419, 7.6321, 5.3973, 1.9607, 7.2900
3045, 40.9600, Top, ShelfToys, 5.1623, 1.6445, 7.6527, 0.1455, -0.8938, -0.2824, 5.0579, 1.6333, 7.5634, 0.1455, -0.8938, -0.2824, 5.1385, 1.6420, 7.6324, 5.3973, 1.9615, 7.2897
3047, 40.9800, Top, ShelfToys, 5.1621, 1.6446, 7.6531, 0.1453, -0.8938, -0.2826, 5.0577, 1.6335, 7.5639, 0.1453, -0.8938, -0.2826, 5.1383, 1.6421, 7.6328, 5.3973, 1.9618, 7.2900
3048, 41.0000, Top, ShelfToys, 5.1621, 1.6446, 7.6533, 0.1451, -0.8938, -0.2825, 5.0578, 1.6335, 7.5640, 0.1451, -0.8938, -0.2825, 5.1383, 1.6420, 7.6330, 5.3973, 1.9613, 7.2907
3049, 41.0200, Top, ShelfToys, 5.1620, 1.6446, 7.6536, 0.1449, -0.8937, -0.2826, 5.0577, 1.6336, 7.5643, 0.1449, -0.8937, -0.2826, 5.1382, 1.6421, 7.6333, 5.3973, 1.9612, 7.2913
3051, 41.0400, Top, ShelfToys, 5.1619, 1.6444, 7.6539, 0.1439, -0.8939, -0.2833, 5.0574, 1.6337, 7.5648, 0.1439, -0.8939, -0.2833, 5.1381, 1.6420, 7.6336, 5.3973, 1.9622, 7.2908
3052, 41.0600, Top, ShelfToys, 5.1619, 1.6444, 7.6539, 0.1435, -0.8942, -0.2834, 5.0572, 1.6337, 7.5650, 0.1435, -0.8942, -0.2834, 5.1380, 1.6419, 7.6337, 5.3973, 1.9628, 7.2896
3054, 41.0800, Top, ShelfToys, 5.1618, 1.6444, 7.6542, 0.1432, -0.8947, -0.2831, 5.0569, 1.6336, 7.5655, 0.1432, -0.8947, -0.2831, 5.1379, 1.6419, 7.6340, 5.3973, 1.9633, 7.2882
3055, 41.1000, Top, ShelfToys, 5.1618, 1.6444, 7.6543, 0.1427, -0.8949, -0.2833, 5.0567, 1.6337, 7.5658, 0.1427, -0.8949, -0.2833, 5.1378, 1.6420, 7.6341, 5.3973, 1.9639, 7.2875
3057, 41.1200, Top, ShelfToys, 5.1618, 1.6443, 7.6544, 0.1411, -0.8953, -0.2840, 5.0564, 1.6340, 7.5661, 0.1411, -0.8953, -0.2840, 5.1378, 1.6420, 7.6343, 5.3973, 1.9647, 7.2867
3058, 41.1400, Top, ShelfToys, 5.1618, 1.6443, 7.6544, 0.1404, -0.8955, -0.2841, 5.0563, 1.6341, 7.5663, 0.1404, -0.8955, -0.2841, 5.1378, 1.6420, 7.6343, 5.3973, 1.9647, 7.2864
3059, 41.1600, Top, ShelfToys, 5.1619, 1.6442, 7.6545, 0.1400, -0.8956, -0.2841, 5.0564, 1.6341, 7.5664, 0.1400, -0.8956, -0.2841, 5.1378, 1.6419, 7.6344, 5.3973, 1.9641, 7.2868
3061, 41.1800, Top, ShelfToys, 5.1621, 1.6440, 7.6546, 0.1393, -0.8957, -0.2839, 5.0566, 1.6341, 7.5665, 0.1393, -0.8957, -0.2839, 5.1380, 1.6418, 7.6345, 5.3973, 1.9630, 7.2876
3062, 41.2000, Top, ShelfToys, 5.1622, 1.6439, 7.6547, 0.1390, -0.8957, -0.2843, 5.0566, 1.6341, 7.5667, 0.1390, -0.8957, -0.2843, 5.1381, 1.6417, 7.6346, 5.3973, 1.9633, 7.2876
3064, 41.2200, Top, ShelfToys, 5.1624, 1.6438, 7.6548, 0.1379, -0.8959, -0.2850, 5.0565, 1.6343, 7.5670, 0.1379, -0.8959, -0.2850, 5.1382, 1.6417, 7.6348, 5.3973, 1.9639, 7.2873
3065, 41.2400, Top, ShelfToys, 5.1624, 1.6438, 7.6548, 0.1375, -0.8961, -0.2849, 5.0565, 1.6343, 7.5671, 0.1375, -0.8961, -0.2849, 5.1383, 1.6416, 7.6348, 5.3973, 1.9634, 7.2874
3067, 41.2600, Top, ShelfToys, 5.1626, 1.6437, 7.6548, 0.1371, -0.8962, -0.2845, 5.0568, 1.6342, 7.5670, 0.1371, -0.8962, -0.2845, 5.1385, 1.6415, 7.6348, 5.3973, 1.9622, 7.2880
3068, 41.2800, Top, ShelfToys, 5.1627, 1.6436, 7.6547, 0.1369, -0.8962, -0.2846, 5.0568, 1.6342, 7.5670, 0.1369, -0.8962, -0.2846, 5.1386, 1.6415, 7.6348, 5.3973, 1.9622, 7.2880
3070, 41.3000, Top, ShelfToys, 5.1630, 1.6436, 7.6547, 0.1358, -0.8963, -0.2852, 5.0569, 1.6345, 7.5671, 0.1358, -0.8963, -0.2852, 5.1388, 1.6416, 7.6347, 5.3973, 1.9621, 7.2884
3071, 41.3200, Top, ShelfToys, 5.1631, 1.6436, 7.6548, 0.1355, -0.8963, -0.2851, 5.0571, 1.6346, 7.5672, 0.1355, -0.8963, -0.2851, 5.1389, 1.6416, 7.6348, 5.3973, 1.9615, 7.2892
