Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
999, 6.1405, TP_Mid_3, 4.4942, 9.4049, 0.0225, False, Unknown, 0.0000, Disabled, Disabled
1325, 10.6620, TP_Juguetes, 4.5335, 9.4058, 0.2774, False, Unknown, 0.0000, Hover, Disabled
1331, 10.7440, TP_Moda, 4.5388, 9.4035, 0.0142, False, Unknown, 0.0000, Hover, Disabled
1362, 11.1742, TP_Juguetes, 4.5537, 9.3959, 0.3610, False, Unknown, 0.0000, Hover, Disabled
1481, 12.8307, TP_Juguetes_2, 5.0260, 7.7050, 1.9207, True, Unknown, 1.6859, Select, Disabled
3190, 36.5659, TP_Mid, 4.9930, 7.6102, 0.0134, False, Unknown, 0.0000, Disabled, Disabled
3227, 37.0784, TP_Mid, 4.9944, 7.5973, 0.4982, False, Unknown, 0.0000, Disabled, Disabled
3283, 37.8566, TP_Mid, 5.0038, 7.6007, 0.0145, False, Unknown, 0.0000, Disabled, Disabled
3323, 38.4118, TP_Mid_2, 4.9974, 7.5619, 0.0130, False, Unknown, 0.0000, Disabled, Disabled
3360, 38.9260, TP_Mid_2, 4.9963, 7.5733, 0.4985, False, Unknown, 0.0000, Disabled, Disabled
3806, 45.1200, TP_Decoracion_2, -5.3650, 5.1510, 2.0129, True, Unknown, 10.6836, Select, Disabled
4991, 61.6058, TP_Comida, -5.4043, 5.1524, 0.1226, False, Unknown, 0.0000, Hover, Disabled
5227, 64.8831, TP_Moda_2, 5.8930, 2.0390, 2.0130, True, Unknown, 7.3972, Select, Disabled
6642, 84.5354, TP_Mid, 5.8886, 1.9753, 0.0143, False, Unknown, 0.0000, Disabled, Disabled
6679, 85.0478, TP_Mid, 5.9153, 1.9244, 0.4990, False, Unknown, 0.0000, Disabled, Disabled
6759, 86.1608, TP_Mid_3, 5.8958, 1.9463, 0.0125, False, Unknown, 0.0000, Disabled, Disabled
6796, 86.6742, TP_Mid_3, 5.8823, 1.9510, 0.4994, False, Unknown, 0.0000, Hover, Disabled
6917, 88.3555, TP_Mid, 2.0900, 7.3581, 2.0138, True, Unknown, 3.0795, Select, Disabled
7264, 93.1713, TP_Juguetes, 5.0370, 6.4330, 2.0108, True, Unknown, 2.9206, Select, Disabled
9136, 119.1708, TP_Moda_2, 5.8930, 2.0390, 1.9999, True, Unknown, 7.3972, Disabled, Select
