Frame, Timestamp, Object, State, Handedness
1840, 17.8119, baby_yoda, Pointing, RightHanded
1841, 17.8283, baby_yoda, Pointing, RightHanded
1842, 17.8419, baby_yoda, Pointing, RightHanded
1843, 17.8556, baby_yoda, Pointing, RightHanded
1844, 17.8679, baby_yoda, Pointing, RightHanded
1845, 17.8832, baby_yoda, Pointing, RightHanded
1846, 17.8987, baby_yoda, Pointing, RightHanded
1847, 17.9104, baby_yoda, Pointing, RightHanded
2763, 30.6349, octopus_teddy, Pointing, LeftHanded
2764, 30.6482, octopus_teddy, Pointing, LeftHanded
2765, 30.6622, octopus_teddy, Pointing, LeftHanded
2766, 30.6763, octopus_teddy, Pointing, LeftHanded
2767, 30.6896, octopus_teddy, Pointing, LeftHanded
2768, 30.7048, octopus_teddy, Pointing, LeftHanded
2769, 30.7187, octopus_teddy, Pointing, LeftHanded
2770, 30.7308, octopus_teddy, Pointing, LeftHanded
2771, 30.7464, octopus_teddy, Pointing, LeftHanded
2772, 30.7601, octopus_teddy, Pointing, LeftHanded
2773, 30.7731, octopus_teddy, Pointing, LeftHanded
2774, 30.7866, octopus_teddy, Pointing, LeftHanded
2775, 30.8011, octopus_teddy, Pointing, LeftHanded
2776, 30.8145, octopus_teddy, Pointing, LeftHanded
2777, 30.8277, octopus_teddy, Pointing, LeftHanded
2778, 30.8419, octopus_teddy, Pointing, LeftHanded
2779, 30.8567, octopus_teddy, Pointing, LeftHanded
2780, 30.8708, octopus_teddy, Pointing, LeftHanded
4143, 49.8019, trofeo, Pointing, RightHanded
4144, 49.8149, trofeo, Pointing, RightHanded
4145, 49.8282, trofeo, Pointing, RightHanded
4146, 49.8435, trofeo, Pointing, RightHanded
4147, 49.8579, trofeo, Pointing, RightHanded
4151, 49.9102, quemador, Pointing, RightHanded
4152, 49.9257, quemador, Pointing, RightHanded
4153, 49.9406, quemador, Pointing, RightHanded
4154, 49.9535, quemador, Pointing, RightHanded
4155, 49.9671, quemador, Pointing, RightHanded
4156, 49.9820, quemador, Pointing, RightHanded
4157, 49.9954, quemador, Pointing, RightHanded
4158, 50.0100, quemador, Pointing, RightHanded
4159, 50.0244, quemador, Pointing, RightHanded
4160, 50.0370, quemador, Pointing, RightHanded
4161, 50.0514, quemador, Pointing, RightHanded
4162, 50.0646, quemador, Pointing, RightHanded
4163, 50.0783, quemador, Pointing, RightHanded
4164, 50.0915, quemador, Pointing, RightHanded
4165, 50.1061, quemador, Pointing, RightHanded
4166, 50.1208, quemador, Pointing, RightHanded
4167, 50.1339, quemador, Pointing, RightHanded
4168, 50.1469, quemador, Pointing, RightHanded
4169, 50.1619, quemador, Pointing, RightHanded
4170, 50.1762, quemador, Pointing, RightHanded
4171, 50.1888, quemador, Pointing, RightHanded
4172, 50.2031, quemador, Pointing, RightHanded
4173, 50.2177, quemador, Pointing, RightHanded
4174, 50.2305, quemador, Pointing, RightHanded
4175, 50.2452, quemador, Pointing, RightHanded
4176, 50.2604, quemador, Pointing, RightHanded
4177, 50.2730, quemador, Pointing, RightHanded
4178, 50.2868, quemador, Pointing, RightHanded
4179, 50.3007, quemador, Pointing, RightHanded
4180, 50.3146, quemador, Pointing, RightHanded
4181, 50.3274, quemador, Pointing, RightHanded
4182, 50.3427, quemador, Pointing, RightHanded
4183, 50.3560, quemador, Pointing, RightHanded
4184, 50.3691, quemador, Pointing, RightHanded
4185, 50.3909, quemador, Pointing, RightHanded
4186, 50.4010, quemador, Pointing, RightHanded
4187, 50.4145, quemador, Pointing, RightHanded
4188, 50.4270, quemador, Pointing, RightHanded
4189, 50.4413, quemador, Pointing, RightHanded
4190, 50.4551, quemador, Pointing, RightHanded
4191, 50.4689, quemador, Pointing, RightHanded
4192, 50.4823, quemador, Pointing, RightHanded
4193, 50.4965, quemador, Pointing, RightHanded
4194, 50.5087, quemador, Pointing, RightHanded
4195, 50.5234, quemador, Pointing, RightHanded
4196, 50.5371, quemador, Pointing, RightHanded
4197, 50.5506, quemador, Pointing, RightHanded
4198, 50.5649, quemador, Pointing, RightHanded
4199, 50.5788, quemador, Pointing, RightHanded
4200, 50.5914, quemador, Pointing, RightHanded
4201, 50.6067, quemador, Pointing, RightHanded
4202, 50.6203, quemador, Pointing, RightHanded
4203, 50.6343, quemador, Pointing, RightHanded
4204, 50.6468, quemador, Pointing, RightHanded
4205, 50.6617, quemador, Pointing, RightHanded
4206, 50.6761, quemador, Pointing, RightHanded
4207, 50.6887, quemador, Pointing, RightHanded
4208, 50.7038, quemador, Pointing, RightHanded
4209, 50.7177, quemador, Pointing, RightHanded
4210, 50.7304, quemador, Pointing, RightHanded
4211, 50.7452, quemador, Pointing, RightHanded
4212, 50.7590, quemador, Pointing, RightHanded
4213, 50.7720, quemador, Pointing, RightHanded
4214, 50.7868, quemador, Pointing, RightHanded
4215, 50.8010, quemador, Pointing, RightHanded
4216, 50.8150, quemador, Pointing, RightHanded
