Frame, Timestamp, RightHand_State, LeftHand_State
180, 4.3664, Disabled, Hover
181, 4.3784, Disabled, Hover
182, 4.3907, Disabled, Hover
183, 4.4047, Disabled, Hover
184, 4.4186, Disabled, Hover
185, 4.4317, Disabled, Hover
186, 4.4453, Disabled, Hover
187, 4.4628, Disabled, Hover
188, 4.4728, Disabled, Hover
189, 4.4884, Disabled, Hover
190, 4.5029, Disabled, Hover
191, 4.5157, Disabled, Hover
192, 4.5286, Disabled, Hover
193, 4.5428, Disabled, Hover
194, 4.5570, Disabled, Hover
195, 4.5701, Disabled, Hover
196, 4.5837, Disabled, Hover
197, 4.5975, Disabled, Hover
198, 4.6112, Disabled, Hover
199, 4.6266, Disabled, Hover
200, 4.6394, Disabled, Hover
201, 4.6521, Disabled, Hover
202, 4.6662, Disabled, Hover
203, 4.6807, Disabled, Hover
204, 4.6947, Disabled, Hover
205, 4.7073, Disabled, Hover
206, 4.7217, Disabled, Hover
207, 4.7357, Disabled, Hover
1490, 22.5609, Hover, Disabled
1491, 22.5738, Hover, Disabled
1492, 22.5889, Hover, Disabled
1493, 22.6027, Hover, Disabled
1494, 22.6187, Hover, Disabled
1495, 22.6336, Hover, Disabled
1496, 22.6488, Hover, Disabled
1497, 22.6632, Hover, Disabled
1498, 22.6781, Hover, Disabled
1499, 22.6921, Hover, Disabled
1500, 22.7071, Hover, Disabled
1501, 22.7219, Hover, Disabled
1502, 22.7363, Hover, Disabled
2395, 35.1386, Disabled, Hover
2396, 35.1518, Disabled, Hover
2397, 35.1663, Disabled, Hover
2398, 35.1803, Disabled, Hover
2399, 35.1945, Disabled, Hover
2400, 35.2080, Disabled, Hover
2401, 35.2225, Disabled, Hover
5637, 80.1636, Disabled, Hover
5638, 80.1784, Disabled, Hover
5639, 80.1914, Disabled, Hover
5640, 80.2059, Disabled, Hover
5641, 80.2197, Disabled, Hover
5642, 80.2329, Disabled, Hover
5643, 80.2478, Disabled, Hover
5644, 80.2622, Disabled, Hover
5645, 80.2754, Disabled, Hover
5646, 80.2881, Disabled, Hover
5647, 80.3032, Disabled, Hover
5648, 80.3171, Disabled, Hover
5649, 80.3301, Disabled, Hover
5650, 80.3450, Disabled, Hover
5651, 80.3588, Disabled, Hover
5652, 80.3717, Disabled, Hover
5653, 80.3868, Disabled, Hover
5654, 80.4006, Disabled, Hover
5655, 80.4139, Disabled, Hover
5656, 80.4269, Disabled, Hover
5657, 80.4418, Disabled, Hover
5658, 80.4562, Disabled, Hover
5659, 80.4688, Disabled, Hover
5660, 80.4834, Disabled, Hover
5661, 80.4974, Disabled, Hover
5662, 80.5104, Disabled, Hover
5663, 80.5251, Disabled, Hover
5664, 80.5392, Disabled, Hover
5665, 80.5522, Disabled, Hover
5666, 80.5670, Disabled, Hover
5667, 80.5807, Disabled, Hover
5668, 80.5948, Disabled, Hover
5669, 80.6078, Disabled, Hover
5670, 80.6229, Disabled, Hover
5671, 80.6366, Disabled, Hover
5672, 80.6494, Disabled, Hover
5673, 80.6639, Disabled, Hover
5674, 80.6781, Disabled, Hover
5675, 80.6912, Disabled, Hover
5676, 80.7056, Disabled, Hover
5677, 80.7196, Disabled, Hover
5678, 80.7329, Disabled, Hover
5679, 80.7478, Disabled, Hover
5680, 80.7620, Disabled, Hover
5681, 80.7752, Disabled, Hover
5682, 80.7882, Disabled, Hover
5683, 80.8030, Disabled, Hover
5684, 80.8170, Disabled, Hover
5685, 80.8298, Disabled, Hover
5686, 80.8447, Disabled, Hover
5687, 80.8584, Disabled, Hover
5688, 80.8720, Disabled, Hover
5689, 80.8866, Disabled, Hover
5690, 80.9007, Disabled, Hover
5691, 80.9142, Disabled, Hover
5692, 80.9273, Disabled, Hover
5693, 80.9420, Disabled, Hover
5694, 80.9558, Disabled, Hover
5695, 80.9689, Disabled, Hover
5696, 80.9841, Disabled, Hover
5697, 80.9977, Disabled, Hover
5698, 81.0114, Disabled, Hover
5699, 81.0248, Disabled, Hover
5700, 81.0386, Disabled, Hover
5701, 81.0524, Disabled, Hover
5702, 81.0673, Disabled, Hover
5703, 81.0811, Disabled, Hover
5704, 81.0946, Disabled, Hover
5705, 81.1080, Disabled, Hover
5706, 81.1225, Disabled, Hover
5707, 81.1362, Disabled, Hover
5708, 81.1497, Disabled, Hover
5709, 81.1639, Disabled, Hover
5710, 81.1782, Disabled, Hover
5711, 81.1911, Disabled, Hover
5712, 81.2056, Disabled, Hover
5713, 81.2194, Disabled, Hover
5714, 81.2325, Disabled, Hover
5715, 81.2469, Disabled, Hover
5716, 81.2612, Disabled, Hover
5717, 81.2756, Disabled, Hover
5718, 81.2885, Disabled, Hover
5719, 81.3028, Disabled, Hover
5720, 81.3166, Disabled, Hover
5721, 81.3306, Disabled, Hover
5722, 81.3442, Disabled, Hover
5723, 81.3589, Disabled, Hover
5724, 81.3715, Disabled, Hover
5725, 81.3868, Disabled, Hover
5726, 81.4014, Disabled, Hover
5727, 81.4155, Disabled, Hover
5728, 81.4283, Disabled, Hover
5729, 81.4421, Disabled, Hover
5730, 81.4559, Disabled, Hover
5731, 81.4692, Disabled, Hover
5732, 81.4834, Disabled, Hover
5733, 81.4977, Disabled, Hover
5734, 81.5107, Disabled, Hover
5735, 81.5250, Disabled, Hover
5736, 81.5387, Disabled, Hover
5737, 81.5521, Disabled, Hover
5738, 81.5667, Disabled, Hover
5739, 81.5809, Disabled, Hover
5740, 81.5941, Disabled, Hover
5741, 81.6073, Disabled, Hover
5742, 81.6218, Disabled, Hover
5743, 81.6359, Disabled, Hover
5744, 81.6491, Disabled, Hover
5745, 81.6634, Disabled, Hover
5746, 81.6778, Disabled, Hover
5747, 81.6907, Disabled, Hover
5748, 81.7052, Disabled, Hover
5749, 81.7192, Disabled, Hover
5750, 81.7325, Disabled, Hover
5751, 81.7467, Disabled, Hover
5752, 81.7606, Disabled, Hover
5753, 81.7744, Disabled, Hover
5754, 81.7883, Disabled, Hover
5755, 81.8035, Disabled, Hover
5756, 81.8172, Disabled, Hover
5757, 81.8302, Disabled, Hover
5758, 81.8446, Disabled, Hover
5759, 81.8592, Disabled, Hover
5760, 81.8718, Disabled, Hover
5761, 81.8859, Disabled, Hover
5762, 81.8994, Disabled, Hover
5763, 81.9129, Disabled, Hover
5764, 81.9275, Disabled, Hover
5765, 81.9417, Disabled, Hover
5766, 81.9548, Disabled, Hover
5767, 81.9681, Disabled, Hover
5768, 81.9827, Disabled, Hover
5769, 81.9969, Disabled, Hover
5770, 82.0102, Disabled, Hover
5771, 82.0241, Disabled, Hover
5772, 82.0379, Disabled, Hover
5773, 82.0514, Disabled, Hover
5774, 82.0658, Disabled, Hover
5775, 82.0798, Disabled, Hover
5776, 82.0964, Disabled, Hover
5777, 82.1078, Disabled, Hover
5778, 82.1212, Disabled, Hover
5779, 82.1344, Disabled, Hover
5780, 82.1479, Disabled, Hover
5781, 82.1627, Disabled, Hover
5782, 82.1767, Disabled, Hover
5783, 82.1901, Disabled, Hover
5784, 82.2044, Disabled, Hover
5785, 82.2187, Disabled, Hover
5786, 82.2316, Disabled, Hover
5787, 82.2459, Disabled, Hover
5788, 82.2601, Disabled, Hover
5789, 82.2744, Disabled, Hover
5790, 82.2872, Disabled, Hover
5791, 82.3018, Disabled, Hover
5792, 82.3160, Disabled, Hover
5793, 82.3293, Disabled, Hover
5794, 82.3436, Disabled, Hover
5795, 82.3572, Disabled, Hover
5796, 82.3707, Disabled, Hover
5797, 82.3857, Disabled, Hover
5798, 82.3992, Disabled, Hover
5799, 82.4124, Disabled, Hover
5800, 82.4269, Disabled, Hover
5801, 82.4408, Disabled, Hover
5802, 82.4547, Disabled, Hover
5803, 82.4680, Disabled, Hover
5804, 82.4830, Disabled, Hover
5805, 82.4965, Disabled, Hover
5806, 82.5096, Disabled, Hover
5807, 82.5242, Disabled, Hover
5808, 82.5382, Disabled, Hover
5809, 82.5517, Disabled, Hover
5810, 82.5661, Disabled, Hover
5811, 82.5801, Disabled, Hover
5812, 82.5936, Disabled, Hover
5813, 82.6066, Disabled, Hover
5814, 82.6214, Disabled, Hover
5815, 82.6356, Disabled, Hover
5816, 82.6488, Disabled, Hover
5817, 82.6633, Disabled, Hover
5818, 82.6771, Disabled, Hover
5819, 82.6908, Disabled, Hover
5820, 82.7049, Disabled, Hover
5821, 82.7188, Disabled, Hover
5822, 82.7322, Disabled, Hover
5823, 82.7463, Disabled, Hover
5824, 82.7605, Disabled, Hover
5825, 82.7743, Disabled, Hover
5826, 82.7877, Disabled, Hover
5827, 82.8021, Disabled, Hover
5828, 82.8160, Disabled, Hover
5829, 82.8293, Disabled, Hover
5830, 82.8438, Disabled, Hover
5831, 82.8577, Disabled, Hover
5832, 82.8709, Disabled, Hover
5833, 82.8860, Disabled, Hover
5834, 82.8994, Disabled, Hover
5835, 82.9127, Disabled, Hover
5836, 82.9270, Disabled, Hover
5837, 82.9410, Disabled, Hover
5838, 82.9549, Disabled, Hover
5839, 82.9682, Disabled, Hover
5840, 82.9827, Disabled, Hover
5841, 82.9968, Disabled, Hover
5842, 83.0102, Disabled, Hover
5843, 83.0247, Disabled, Hover
5844, 83.0382, Disabled, Hover
5845, 83.0517, Disabled, Hover
5846, 83.0664, Disabled, Hover
5847, 83.0800, Disabled, Hover
5848, 83.0938, Disabled, Hover
5849, 83.1073, Disabled, Hover
5850, 83.1218, Disabled, Hover
5851, 83.1357, Disabled, Hover
5852, 83.1489, Disabled, Hover
5853, 83.1636, Disabled, Hover
5854, 83.1772, Disabled, Hover
5855, 83.1906, Disabled, Hover
5856, 83.2056, Disabled, Hover
5857, 83.2189, Disabled, Hover
5858, 83.2321, Disabled, Hover
5859, 83.2464, Disabled, Hover
5860, 83.2607, Disabled, Hover
5861, 83.2752, Disabled, Hover
5862, 83.2880, Disabled, Hover
6314, 89.5647, Disabled, Hover
6315, 89.5791, Disabled, Hover
6316, 89.5924, Disabled, Hover
6317, 89.6079, Disabled, Hover
6318, 89.6216, Disabled, Hover
6319, 89.6351, Disabled, Hover
6320, 89.6479, Disabled, Hover
6321, 89.6625, Disabled, Hover
6322, 89.6767, Disabled, Hover
6323, 89.6896, Disabled, Hover
6324, 89.7040, Disabled, Hover
6325, 89.7178, Disabled, Hover
6326, 89.7310, Disabled, Hover
6327, 89.7457, Disabled, Hover
6328, 89.7601, Disabled, Hover
6329, 89.7734, Disabled, Hover
6330, 89.7866, Disabled, Hover
6331, 89.8012, Disabled, Hover
6332, 89.8157, Disabled, Hover
6333, 89.8287, Disabled, Hover
6334, 89.8434, Disabled, Hover
6335, 89.8570, Disabled, Hover
6336, 89.8699, Disabled, Hover
6337, 89.8847, Disabled, Hover
6338, 89.8986, Disabled, Hover
6339, 89.9120, Disabled, Hover
6340, 89.9263, Disabled, Hover
6341, 89.9402, Disabled, Hover
6342, 89.9541, Disabled, Hover
6343, 89.9674, Disabled, Hover
6344, 89.9818, Disabled, Hover
6345, 89.9961, Disabled, Hover
6346, 90.0091, Disabled, Hover
6347, 90.0235, Disabled, Hover
6348, 90.0380, Disabled, Hover
6349, 90.0506, Disabled, Hover
6350, 90.0657, Disabled, Hover
6351, 90.0798, Disabled, Hover
6352, 90.0938, Disabled, Hover
6353, 90.1069, Disabled, Hover
6354, 90.1208, Disabled, Hover
6355, 90.1351, Disabled, Hover
6356, 90.1484, Disabled, Hover
6357, 90.1624, Disabled, Hover
6358, 90.1762, Disabled, Hover
6359, 90.1894, Disabled, Hover
6360, 90.2046, Disabled, Hover
6361, 90.2187, Disabled, Hover
6362, 90.2312, Disabled, Hover
6363, 90.2457, Disabled, Hover
6364, 90.2599, Disabled, Hover
6365, 90.2732, Disabled, Hover
6366, 90.2882, Disabled, Hover
6367, 90.3018, Disabled, Hover
6368, 90.3152, Disabled, Hover
6369, 90.3286, Disabled, Hover
6370, 90.3433, Disabled, Hover
6371, 90.3576, Disabled, Hover
6372, 90.3708, Disabled, Hover
6373, 90.3850, Disabled, Hover
6374, 90.3989, Disabled, Hover
6375, 90.4121, Disabled, Hover
6376, 90.4268, Disabled, Hover
6377, 90.4409, Disabled, Hover
6378, 90.4552, Disabled, Hover
6379, 90.4674, Disabled, Hover
6380, 90.4822, Disabled, Hover
6381, 90.4959, Disabled, Hover
6382, 90.5090, Disabled, Hover
6383, 90.5243, Disabled, Hover
6384, 90.5379, Disabled, Hover
6385, 90.5511, Disabled, Hover
6386, 90.5656, Disabled, Hover
6387, 90.5793, Disabled, Hover
6388, 90.5932, Disabled, Hover
6389, 90.6077, Disabled, Hover
6390, 90.6211, Disabled, Hover
6391, 90.6348, Disabled, Hover
6392, 90.6481, Disabled, Hover
6393, 90.6626, Disabled, Hover
6394, 90.6771, Disabled, Hover
6395, 90.6906, Disabled, Hover
6396, 90.7044, Disabled, Hover
6397, 90.7185, Disabled, Hover
6398, 90.7317, Disabled, Hover
6399, 90.7464, Disabled, Hover
6400, 90.7608, Disabled, Hover
6401, 90.7753, Disabled, Hover
6402, 90.7874, Disabled, Hover
6403, 90.8022, Disabled, Hover
6404, 90.8156, Disabled, Hover
6405, 90.8286, Disabled, Hover
6406, 90.8432, Disabled, Hover
6407, 90.8573, Disabled, Hover
6408, 90.8707, Disabled, Hover
6409, 90.8851, Disabled, Hover
6410, 90.8990, Disabled, Hover
6411, 90.9123, Disabled, Hover
6412, 90.9270, Disabled, Hover
6413, 90.9410, Disabled, Hover
6414, 90.9553, Disabled, Hover
6415, 90.9679, Disabled, Hover
6416, 90.9826, Disabled, Hover
6417, 90.9965, Disabled, Hover
6418, 91.0093, Disabled, Hover
6419, 91.0245, Disabled, Hover
6420, 91.0384, Disabled, Hover
6421, 91.0513, Disabled, Hover
6422, 91.0658, Disabled, Hover
6423, 91.0797, Disabled, Hover
6424, 91.0929, Disabled, Hover
6425, 91.1080, Disabled, Hover
6426, 91.1214, Disabled, Hover
6427, 91.1354, Disabled, Hover
6428, 91.1484, Disabled, Hover
6429, 91.1630, Disabled, Hover
6430, 91.1769, Disabled, Hover
6431, 91.1933, Disabled, Hover
6432, 91.2047, Disabled, Hover
6433, 91.2183, Disabled, Hover
6434, 91.2316, Disabled, Hover
6435, 91.2463, Disabled, Hover
6436, 91.2606, Disabled, Hover
6437, 91.2739, Disabled, Hover
6438, 91.2870, Disabled, Hover
6439, 91.3017, Disabled, Hover
6440, 91.3156, Disabled, Hover
6441, 91.3293, Disabled, Hover
6442, 91.3441, Disabled, Hover
6443, 91.3575, Disabled, Hover
6444, 91.3706, Disabled, Hover
6445, 91.3855, Disabled, Hover
6446, 91.3996, Disabled, Hover
6447, 91.4124, Disabled, Hover
6448, 91.4268, Disabled, Hover
6449, 91.4408, Disabled, Hover
6450, 91.4545, Disabled, Hover
6451, 91.4679, Disabled, Hover
6452, 91.4828, Disabled, Hover
6453, 91.4969, Disabled, Hover
6454, 91.5095, Disabled, Hover
6455, 91.5240, Disabled, Hover
6456, 91.5379, Disabled, Hover
6457, 91.5512, Disabled, Hover
6458, 91.5662, Disabled, Hover
6459, 91.5805, Disabled, Hover
6460, 91.5936, Disabled, Hover
6461, 91.6067, Disabled, Hover
6462, 91.6213, Disabled, Hover
6463, 91.6355, Disabled, Hover
6464, 91.6491, Disabled, Hover
6465, 91.6636, Disabled, Hover
6466, 91.6773, Disabled, Hover
6467, 91.6902, Disabled, Hover
6468, 91.7048, Disabled, Hover
6469, 91.7193, Disabled, Hover
6470, 91.7322, Disabled, Hover
6471, 91.7469, Disabled, Hover
6472, 91.7604, Disabled, Hover
6473, 91.7742, Disabled, Hover
6474, 91.7874, Disabled, Hover
6475, 91.8022, Disabled, Hover
6476, 91.8165, Disabled, Hover
6477, 91.8287, Disabled, Hover
6478, 91.8432, Disabled, Hover
6479, 91.8574, Disabled, Hover
6480, 91.8706, Disabled, Hover
6481, 91.8856, Disabled, Hover
6482, 91.8995, Disabled, Hover
6483, 91.9124, Disabled, Hover
6484, 91.9269, Disabled, Hover
6485, 91.9408, Disabled, Hover
6486, 91.9547, Disabled, Hover
6487, 91.9684, Disabled, Hover
6488, 91.9829, Disabled, Hover
6489, 91.9963, Disabled, Hover
6490, 92.0094, Disabled, Hover
6491, 92.0242, Disabled, Hover
6492, 92.0380, Disabled, Hover
6493, 92.0515, Disabled, Hover
6494, 92.0664, Disabled, Hover
6495, 92.0795, Disabled, Hover
6496, 92.0925, Disabled, Hover
6497, 92.1070, Disabled, Hover
6498, 92.1216, Disabled, Hover
6499, 92.1350, Disabled, Hover
6500, 92.1481, Disabled, Hover
6501, 92.1628, Disabled, Hover
6502, 92.1768, Disabled, Hover
6503, 92.1905, Disabled, Hover
6504, 92.2049, Disabled, Hover
6505, 92.2184, Disabled, Hover
6506, 92.2315, Disabled, Hover
6507, 92.2460, Disabled, Hover
6508, 92.2605, Disabled, Hover
6509, 92.2744, Disabled, Hover
6510, 92.2870, Disabled, Hover
6511, 92.3016, Disabled, Hover
6512, 92.3156, Disabled, Hover
6513, 92.3288, Disabled, Hover
6514, 92.3438, Disabled, Hover
6515, 92.3577, Disabled, Hover
6516, 92.3706, Disabled, Hover
6517, 92.3857, Disabled, Hover
6518, 92.3992, Disabled, Hover
6519, 92.4122, Disabled, Hover
6520, 92.4270, Disabled, Hover
6521, 92.4408, Disabled, Hover
6522, 92.4541, Disabled, Hover
6523, 92.4676, Disabled, Hover
6524, 92.4818, Disabled, Hover
6525, 92.4958, Disabled, Hover
6526, 92.5092, Disabled, Hover
6527, 92.5236, Disabled, Hover
6528, 92.5375, Disabled, Hover
6529, 92.5507, Disabled, Hover
6530, 92.5653, Disabled, Hover
6531, 92.5802, Disabled, Hover
6532, 92.5938, Disabled, Hover
6533, 92.6064, Disabled, Hover
6534, 92.6206, Disabled, Hover
6535, 92.6347, Disabled, Hover
6536, 92.6478, Disabled, Hover
6537, 92.6634, Disabled, Hover
6538, 92.6766, Disabled, Hover
6539, 92.6901, Disabled, Hover
6540, 92.7040, Disabled, Hover
6541, 92.7183, Disabled, Hover
6542, 92.7319, Disabled, Hover
6543, 92.7461, Disabled, Hover
6544, 92.7596, Disabled, Hover
6545, 92.7732, Disabled, Hover
6546, 92.7875, Disabled, Hover
6547, 92.8012, Disabled, Hover
6548, 92.8154, Disabled, Hover
6549, 92.8286, Disabled, Hover
6550, 92.8426, Disabled, Hover
6551, 92.8567, Disabled, Hover
6552, 92.8700, Disabled, Hover
6553, 92.8846, Disabled, Hover
6554, 92.8985, Disabled, Hover
6555, 92.9119, Disabled, Hover
6556, 92.9264, Disabled, Hover
6557, 92.9401, Disabled, Hover
6558, 92.9541, Disabled, Hover
6559, 92.9674, Disabled, Hover
6560, 92.9824, Disabled, Hover
6561, 92.9964, Disabled, Hover
6562, 93.0091, Disabled, Hover
6563, 93.0235, Disabled, Hover
6564, 93.0377, Disabled, Hover
6565, 93.0506, Disabled, Hover
6566, 93.0661, Disabled, Hover
6567, 93.0796, Disabled, Hover
6568, 93.0926, Disabled, Hover
6569, 93.1069, Disabled, Hover
6570, 93.1209, Disabled, Hover
6571, 93.1349, Disabled, Hover
6572, 93.1478, Disabled, Hover
6573, 93.1625, Disabled, Hover
6574, 93.1766, Disabled, Hover
6575, 93.1901, Disabled, Hover
6576, 93.2040, Disabled, Hover
6577, 93.2177, Disabled, Hover
6578, 93.2310, Disabled, Hover
6579, 93.2456, Disabled, Hover
6580, 93.2600, Disabled, Hover
6581, 93.2743, Disabled, Hover
6582, 93.2866, Disabled, Hover
6583, 93.3010, Disabled, Hover
6584, 93.3151, Disabled, Hover
6585, 93.3285, Disabled, Hover
6586, 93.3437, Disabled, Hover
6587, 93.3572, Disabled, Hover
6588, 93.3702, Disabled, Hover
6589, 93.3848, Disabled, Hover
6590, 93.3987, Disabled, Hover
6591, 93.4118, Disabled, Hover
6592, 93.4269, Disabled, Hover
6593, 93.4403, Disabled, Hover
6594, 93.4540, Disabled, Hover
6595, 93.4669, Disabled, Hover
6596, 93.4815, Disabled, Hover
6597, 93.4962, Disabled, Hover
6598, 93.5091, Disabled, Hover
6599, 93.5234, Disabled, Hover
6600, 93.5374, Disabled, Hover
6601, 93.5507, Disabled, Hover
6602, 93.5651, Disabled, Hover
6603, 93.5833, Disabled, Hover
6604, 93.5930, Disabled, Hover
6605, 93.6078, Disabled, Hover
6606, 93.6223, Disabled, Hover
6607, 93.6359, Disabled, Hover
6608, 93.6489, Disabled, Hover
6673, 94.5507, Disabled, Hover
6674, 94.5654, Disabled, Hover
6675, 94.5790, Disabled, Hover
6676, 94.5922, Disabled, Hover
6677, 94.6067, Disabled, Hover
6678, 94.6208, Disabled, Hover
6679, 94.6348, Disabled, Hover
6680, 94.6478, Disabled, Hover
6681, 94.6624, Disabled, Hover
6682, 94.6762, Disabled, Hover
6683, 94.6895, Disabled, Hover
6684, 94.7043, Disabled, Hover
6685, 94.7180, Disabled, Hover
6686, 94.7308, Disabled, Hover
6687, 94.7456, Disabled, Hover
6688, 94.7595, Disabled, Hover
6689, 94.7726, Disabled, Hover
6690, 94.7883, Disabled, Hover
6691, 94.8013, Disabled, Hover
6692, 94.8150, Disabled, Hover
6693, 94.8280, Disabled, Hover
6694, 94.8427, Disabled, Hover
6695, 94.8573, Disabled, Hover
6696, 94.8701, Disabled, Hover
6697, 94.8845, Disabled, Hover
6698, 94.8985, Disabled, Hover
6699, 94.9114, Disabled, Hover
6700, 94.9261, Disabled, Hover
6701, 94.9408, Disabled, Hover
6702, 94.9539, Disabled, Hover
6703, 94.9671, Disabled, Hover
6704, 94.9816, Disabled, Hover
6705, 94.9953, Disabled, Hover
6706, 95.0089, Disabled, Hover
6707, 95.0233, Disabled, Hover
6708, 95.0370, Disabled, Hover
6709, 95.0504, Disabled, Hover
6710, 95.0650, Disabled, Hover
6711, 95.0795, Disabled, Hover
6712, 95.0924, Disabled, Hover
6713, 95.1067, Disabled, Hover
6714, 95.1205, Disabled, Hover
6715, 95.1343, Disabled, Hover
6716, 95.1475, Disabled, Hover
6717, 95.1626, Disabled, Hover
6718, 95.1765, Disabled, Hover
6719, 95.1894, Disabled, Hover
6720, 95.2038, Disabled, Hover
6721, 95.2176, Disabled, Hover
6722, 95.2309, Disabled, Hover
6723, 95.2459, Disabled, Hover
6724, 95.2602, Disabled, Hover
