Frame,Timestamp,TaskDuration,Completed
2543,37.1944,34.1559,No
4276,61.2605,12.3327,Yes
9357,132.2316,69.0257,No
14375,201.9835,64.529,No
16133,226.4106,9.3055,Yes
21387,299.4252,71.6673,No
23048,322.5067,19.3189,Yes
25144,351.6881,26.5564,No
26679,373.005,16.9277,No
30996,433.14,57.9273,No
