Frame, Timestamp, Object, State, Handedness
1655, 23.0193, baby_yoda, Pointing, LeftHanded
1727, 24.0175, Juguetes, Pointing, RightHanded
1728, 24.0312, Juguetes, Pointing, RightHanded
1729, 24.0472, Juguetes, Pointing, RightHanded
1730, 24.0600, Juguetes, Pointing, RightHanded
1731, 24.0728, Juguetes, Pointing, RightHanded
1732, 24.0873, Juguetes, Pointing, RightHanded
1733, 24.1015, Juguetes, Pointing, RightHanded
1734, 24.1161, Juguetes, Pointing, RightHanded
1735, 24.1293, Juguetes, Pointing, RightHanded
1736, 24.1442, Juguetes, Pointing, RightHanded
1737, 24.1565, Juguetes, Pointing, RightHanded
1738, 24.1701, Juguetes, Pointing, RightHanded
1739, 24.1838, Juguetes, Pointing, RightHanded
1740, 24.1983, Juguetes, Pointing, RightHanded
1741, 24.2108, Juguetes, Pointing, RightHanded
1742, 24.2251, Juguetes, Pointing, RightHanded
1743, 24.2400, Juguetes, Pointing, RightHanded
1744, 24.2592, Juguetes, Pointing, RightHanded
3450, 47.9636, trofeo, Pointing, LeftHanded
3451, 47.9777, trofeo, Pointing, LeftHanded
3452, 47.9917, trofeo, Pointing, LeftHanded
3453, 48.0057, trofeo, Pointing, LeftHanded
3454, 48.0192, trofeo, Pointing, LeftHanded
3455, 48.0329, trofeo, Pointing, LeftHanded
3456, 48.0482, trofeo, Pointing, LeftHanded
3457, 48.0621, trofeo, Pointing, LeftHanded
3458, 48.0753, trofeo, Pointing, LeftHanded
3459, 48.0880, trofeo, Pointing, LeftHanded
3738, 51.9638, trofeo, Pointing, LeftHanded
3739, 51.9787, trofeo, Pointing, LeftHanded
3740, 51.9922, trofeo, Pointing, LeftHanded
3741, 52.0064, trofeo, Pointing, LeftHanded
3742, 52.0203, trofeo, Pointing, LeftHanded
3743, 52.0342, trofeo, Pointing, LeftHanded
3744, 52.0484, trofeo, Pointing, LeftHanded
3745, 52.0619, trofeo, Pointing, LeftHanded
3746, 52.0756, trofeo, Pointing, LeftHanded
3747, 52.0886, trofeo, Pointing, LeftHanded
3748, 52.1032, trofeo, Pointing, LeftHanded
3749, 52.1175, trofeo, Pointing, LeftHanded
3750, 52.1315, trofeo, Pointing, LeftHanded
3751, 52.1460, trofeo, Pointing, LeftHanded
3752, 52.1589, trofeo, Pointing, LeftHanded
3753, 52.1717, trofeo, Pointing, LeftHanded
3754, 52.1864, trofeo, Pointing, LeftHanded
3755, 52.1997, trofeo, Pointing, LeftHanded
3756, 52.2131, trofeo, Pointing, LeftHanded
3757, 52.2287, trofeo, Pointing, LeftHanded
3758, 52.2423, trofeo, Pointing, LeftHanded
3759, 52.2556, trofeo, Pointing, LeftHanded
3760, 52.2695, trofeo, Pointing, LeftHanded
3761, 52.2836, trofeo, Pointing, LeftHanded
3762, 52.2975, trofeo, Pointing, LeftHanded
3763, 52.3104, trofeo, Pointing, LeftHanded
3764, 52.3256, trofeo, Pointing, LeftHanded
3765, 52.3397, trofeo, Pointing, LeftHanded
3766, 52.3565, trofeo, Pointing, LeftHanded
3767, 52.3669, trofeo, Pointing, LeftHanded
3768, 52.3831, trofeo, Pointing, LeftHanded
3769, 52.3961, trofeo, Pointing, LeftHanded
3770, 52.4095, trofeo, Pointing, LeftHanded
3771, 52.4232, trofeo, Pointing, LeftHanded
3850, 53.5203, Decoracion, Pointing, LeftHanded
3851, 53.5342, Decoracion, Pointing, LeftHanded
3852, 53.5479, Decoracion, Pointing, LeftHanded
4133, 57.4476, quemador, Pointing, LeftHanded
4134, 57.4626, quemador, Pointing, LeftHanded
4135, 57.4795, quemador, Pointing, LeftHanded
4136, 57.4893, quemador, Pointing, LeftHanded
4137, 57.5046, quemador, Pointing, LeftHanded
4138, 57.5179, quemador, Pointing, LeftHanded
4139, 57.5311, quemador, Pointing, LeftHanded
4140, 57.5454, quemador, Pointing, LeftHanded
4141, 57.5594, quemador, Pointing, LeftHanded
4142, 57.5725, quemador, Pointing, LeftHanded
4143, 57.5869, quemador, Pointing, LeftHanded
4144, 57.6008, quemador, Pointing, LeftHanded
4145, 57.6148, quemador, Pointing, LeftHanded
4146, 57.6294, quemador, Pointing, LeftHanded
4147, 57.6432, quemador, Pointing, LeftHanded
