Frame, Timestamp, RightHand_State, LeftHand_State
668, 9.3294, Disabled, Hover
722, 10.0776, Disabled, Hover
723, 10.0924, Disabled, Hover
724, 10.1058, Disabled, Hover
725, 10.1201, Disabled, Hover
726, 10.1338, Disabled, Hover
727, 10.1468, Disabled, Hover
728, 10.1623, Disabled, Hover
729, 10.1758, Disabled, Hover
730, 10.1886, Disabled, Hover
731, 10.2035, Disabled, Hover
732, 10.2179, Disabled, Hover
733, 10.2318, Disabled, Hover
734, 10.2443, Disabled, Hover
735, 10.2588, Disabled, Hover
736, 10.2716, Disabled, Hover
737, 10.2863, Disabled, Hover
738, 10.3013, Disabled, Hover
739, 10.3179, Disabled, Hover
740, 10.3280, Disabled, Hover
741, 10.3437, Disabled, Hover
742, 10.3578, Disabled, Hover
743, 10.3706, Disabled, Hover
744, 10.3850, Disabled, Hover
745, 10.3991, Disabled, Hover
746, 10.4120, Disabled, Hover
747, 10.4257, Disabled, Hover
748, 10.4395, Disabled, Hover
749, 10.4531, Disabled, Hover
750, 10.4674, Disabled, Hover
751, 10.4812, Disabled, Hover
752, 10.4952, Disabled, Hover
753, 10.5081, Disabled, Hover
754, 10.5230, Disabled, Hover
755, 10.5365, Disabled, Hover
756, 10.5500, Disabled, Hover
757, 10.5644, Disabled, Hover
758, 10.5785, Disabled, Hover
759, 10.5914, Disabled, Hover
760, 10.6061, Disabled, Hover
761, 10.6202, Disabled, Hover
762, 10.6342, Disabled, Hover
763, 10.6468, Disabled, Hover
764, 10.6616, Disabled, Hover
765, 10.6754, Disabled, Hover
766, 10.6887, Disabled, Hover
767, 10.7035, Disabled, Hover
768, 10.7169, Disabled, Hover
769, 10.7299, Disabled, Hover
770, 10.7448, Disabled, Hover
771, 10.7585, Disabled, Hover
772, 10.7719, Disabled, Hover
773, 10.7863, Disabled, Hover
774, 10.8008, Disabled, Hover
775, 10.8142, Disabled, Hover
776, 10.8275, Disabled, Hover
777, 10.8422, Disabled, Hover
778, 10.8560, Disabled, Hover
779, 10.8693, Disabled, Hover
780, 10.8839, Disabled, Hover
781, 10.8976, Disabled, Hover
782, 10.9109, Disabled, Hover
783, 10.9252, Disabled, Hover
784, 10.9396, Disabled, Hover
785, 10.9529, Disabled, Hover
