Frame,Timestamp,TaskDuration,Completed
1239,17.2568,11.0944,Yes
1811,25.2022,6.3888,Yes
2721,37.8427,11.9882,Yes
3276,45.5483,7.2361,Yes
3881,53.952,7.3621,Yes
5089,70.7414,14.4153,Yes
5917,82.2413,10.901,Yes
7325,101.7967,17.6522,Yes
8613,119.6987,7.8468,Yes
10264,142.6297,21.0138,Yes
