Frame,Timestamp,TaskDuration,Completed
3024,42.6743,30.5024,No
4165,58.5199,13.5135,Yes
6711,93.8812,33.9029,No
8517,118.9622,22.9288,Yes
10233,142.7948,19.6667,Yes
12989,181.0861,36.9581,Yes
14316,199.5153,16.4574,Yes
16339,227.6107,24.7753,Yes
17992,250.5684,18.944,Yes
20663,287.6645,34.1374,Yes
