Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
5039, 65.3684, baby_yoda, Juguetes, Select, 5.5182, 1.4189, 7.3025, 359.9225, 269.9818, 0.0527, 0.1060, 0.1060, 0.1060, Select, Normal
5042, 65.4094, baby_yoda, Juguetes, Select, 5.5181, 1.4185, 7.3024, 359.7820, 269.8694, 359.9263, 0.1060, 0.1060, 0.1060, Select, Normal
5045, 65.4505, baby_yoda, Juguetes, Select, 5.5183, 1.4180, 7.3015, 359.6179, 269.7832, 359.6857, 0.1060, 0.1060, 0.1060, Select, Normal
5048, 65.4924, baby_yoda, Juguetes, Select, 5.5191, 1.4178, 7.3006, 359.5210, 269.7145, 359.4796, 0.1060, 0.1060, 0.1060, Select, Normal
5051, 65.5352, baby_yoda, Juguetes, Select, 5.5202, 1.4183, 7.3000, 359.5489, 269.6436, 359.4124, 0.1060, 0.1060, 0.1060, Select, Normal
5054, 65.5760, baby_yoda, Juguetes, Select, 5.5208, 1.4188, 7.3000, 359.5273, 269.5376, 359.4287, 0.1060, 0.1060, 0.1060, Select, Normal
5057, 65.6178, baby_yoda, Juguetes, Select, 5.5211, 1.4192, 7.2995, 359.4711, 269.5172, 359.3297, 0.1060, 0.1060, 0.1060, Select, Normal
5060, 65.6589, baby_yoda, Juguetes, Select, 5.5210, 1.4194, 7.2986, 359.3778, 269.5600, 359.0934, 0.1060, 0.1060, 0.1060, Select, Normal
5063, 65.7004, baby_yoda, Juguetes, Select, 5.5203, 1.4189, 7.2976, 359.1415, 269.5805, 358.8575, 0.1060, 0.1060, 0.1060, Select, Normal
5066, 65.7427, baby_yoda, Juguetes, Select, 5.5198, 1.4185, 7.2966, 358.9762, 269.6436, 358.6679, 0.1060, 0.1060, 0.1060, Select, Normal
