Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
606, 8.4973, TP_Mid, 4.4356, 9.5897, 0.9390, False, Unknown, 0.0000, Hover, Disabled
709, 9.9259, TP_Juguetes_Adjacent, 4.4988, 9.5892, 0.1247, False, Unknown, 0.0000, Hover, Disabled
776, 10.8565, TP_Juguetes_Adjacent, 4.5016, 9.5818, 0.2362, False, Unknown, 0.0000, Hover, Disabled
881, 12.3168, TP_Juguetes2_Adjacent, 5.1938, 7.7096, 1.4603, True, Unknown, 1.9729, Select, Disabled
2281, 31.7596, TP_Mid_4, 5.1711, 7.6599, 0.4439, False, Unknown, 0.0000, Hover, Disabled
2363, 32.8984, TP_Decoracion2_Adjacent, 5.1715, 7.6639, 0.0139, False, Unknown, 0.0000, Hover, Disabled
2401, 33.4261, TP_Decoracion2_Adjacent, 5.1714, 7.6629, 0.4589, False, Unknown, 0.0000, Hover, Disabled
2438, 33.9405, TP_Decoracion2_Adjacent, 5.1720, 7.6624, 0.2924, False, Unknown, 0.0000, Hover, Disabled
2484, 34.5791, TP_Decoracion2_Adjacent, -4.4770, 4.9921, 0.6240, True, Unknown, 10.0527, Select, Disabled
3215, 44.7313, TP_Mid_7, -4.4161, 5.0886, 0.1662, False, Unknown, 0.0000, Hover, Disabled
3253, 45.2580, TP_Mid_6, -4.3794, 5.1248, 0.0971, False, Unknown, 0.0000, Hover, Disabled
3263, 45.3973, TP_Comida_Adjacent, -4.3690, 5.1301, 0.0290, False, Unknown, 0.0000, Hover, Disabled
3271, 45.5071, TP_Mid_8, -4.3591, 5.1342, 0.0969, False, Unknown, 0.0000, Hover, Disabled
3348, 46.5766, TP_Mid_5, 2.7808, 2.6869, 0.9166, True, Unknown, 7.0710, Select, Disabled
3401, 47.3131, TP_Comida2_Adjacent, 2.7419, 2.6948, 0.2906, False, Unknown, 0.0000, Hover, Disabled
3703, 51.5051, TP_Moda2_Adjacent, 6.0309, 2.1527, 0.3872, True, Unknown, 7.5576, Select, Disabled
4759, 66.1731, TP_Mid_2, 5.9869, 2.0580, 0.2902, False, Unknown, 0.0000, Hover, Disabled
4820, 67.0217, TP_Mid, 2.0900, 7.3581, 0.6124, True, Unknown, 3.2451, Select, Disabled
5048, 70.1867, TP_Juguetes_Adjacent, 2.0765, 7.3529, 0.2782, False, Unknown, 0.0000, Hover, Disabled
5086, 70.7149, TP_Juguetes_Adjacent, 5.1940, 6.8280, 0.4044, True, Unknown, 2.8133, Select, Disabled
6244, 86.7990, TP_Mid_5, 5.1336, 6.8287, 0.2091, False, Unknown, 0.0000, Hover, Disabled
6256, 86.9659, TP_Mid_6, 5.1323, 6.8277, 0.1248, False, Unknown, 0.0000, Hover, Disabled
6302, 87.6041, TP_Mid_6, 5.1276, 6.8273, 0.6237, False, Unknown, 0.0000, Hover, Disabled
6345, 88.2012, TP_Mid_6, 5.1204, 6.8301, 0.1114, False, Unknown, 0.0000, Hover, Disabled
6420, 89.2428, TP_Tecnologia_Adjacent, 5.1235, 6.8260, 0.3449, False, Unknown, 0.0000, Hover, Disabled
6457, 89.7551, TP_Tecnologia_Adjacent, -1.6719, 0.6370, 0.3466, False, Unknown, 0.0000, Hover, Disabled
6497, 90.3102, TP_Mid_6, -1.6630, 0.6475, 0.0415, False, Unknown, 0.0000, Disabled, Disabled
6568, 91.2976, TP_Mid_6, -1.6166, 0.6753, 0.0975, False, Unknown, 0.0000, Disabled, Disabled
