Frame, Timestamp, HMD_x, HMD_y, HMD_z, HMD_rot_x, HMD_rot_y, HMD_rot_z, HandR_x, HandR_y, HandR_z, HandR_rot_x, HandR_rot_y, HandR_rot_z, HandL_x, HandL_y, HandL_z, HandL_rot_x, HandL_rot_y, HandL_rot_z, Velocity_HandR_x, Velocity_HandR_y, Velocity_HandR_z, Velocity_HandL_x, Velocity_HandL_y, Velocity_HandL_z, Distance
19, 0.2843, 4.4496, 1.2112, 9.5858, 356.0316, 197.0690, 4.6100, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
20, 0.2988, 4.4500, 1.2118, 9.5863, 355.7041, 196.9763, 4.5882, 0.1528, 0.7401, -0.0491, 57.8375, 118.3432, 47.0998, -0.0504, 0.7397, 0.0290, 295.6217, 64.0762, 257.1967, 10.4825, 50.7891, -3.3667, -3.4611, 50.7573, 1.9911, 0.0000
21, 0.3305, 4.4503, 1.2121, 9.5870, 355.7908, 196.9866, 4.3259, 0.1528, 0.7401, -0.0491, 57.8375, 118.3432, 47.0998, -0.0504, 0.7397, 0.0290, 295.6217, 64.0762, 257.1967, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
22, 0.3443, 4.4510, 1.2131, 9.5882, 355.4296, 197.0063, 4.0673, 0.1360, 0.7367, -0.0523, 62.7126, 128.2396, 55.6940, -0.0522, 0.7243, 0.0234, 294.7758, 51.2695, 272.7404, -1.2116, -0.2455, -0.2367, -0.1278, -1.1076, -0.4075, 0.0000
23, 0.3551, 4.4513, 1.2137, 9.5890, 355.1945, 197.0698, 3.9424, 0.1261, 0.7347, -0.0543, 63.9059, 131.5229, 58.6243, -0.0533, 0.7152, 0.0200, 295.1891, 40.8003, 285.4120, -0.9150, -0.1854, -0.1788, -0.0981, -0.8498, -0.3127, 0.0000
24, 0.3676, 4.4517, 1.2146, 9.5898, 354.8834, 197.1201, 3.9431, 0.1201, 0.7336, -0.0568, 64.3387, 134.6592, 61.8998, -0.0562, 0.7040, 0.0189, 296.5651, 36.4349, 293.3974, -0.4825, -0.0867, -0.2043, -0.2316, -0.8902, -0.0903, 0.0000
25, 0.3822, 4.4519, 1.2154, 9.5904, 354.4591, 197.1471, 3.9503, 0.1151, 0.7327, -0.0588, 64.7466, 137.8689, 65.2011, -0.0583, 0.6955, 0.0178, 297.5871, 33.6908, 298.4231, -0.3446, -0.0630, -0.1348, -0.1455, -0.5872, -0.0730, 0.0000
26, 0.3964, 4.4521, 1.2157, 9.5910, 354.0105, 197.1849, 3.9026, 0.1108, 0.7319, -0.0604, 65.0935, 140.8969, 68.2771, -0.0598, 0.6888, 0.0168, 298.1757, 32.2224, 301.0751, -0.3033, -0.0563, -0.1104, -0.1100, -0.4674, -0.0687, 0.0000
27, 0.4099, 4.4524, 1.2161, 9.5916, 353.5931, 197.2856, 3.7661, 0.1078, 0.7314, -0.0614, 65.3272, 143.2143, 70.6143, -0.0608, 0.6847, 0.0162, 298.6080, 31.1962, 302.9195, -0.2160, -0.0403, -0.0767, -0.0707, -0.3061, -0.0475, 0.0000
28, 0.4251, 4.4526, 1.2169, 9.5919, 353.3471, 197.4152, 3.6716, 0.1061, 0.7304, -0.0627, 65.3287, 143.6710, 71.6536, -0.0632, 0.6795, 0.0186, 298.7495, 32.6781, 303.0922, -0.1115, -0.0640, -0.0848, -0.1571, -0.3411, 0.1611, 0.0000
29, 0.4404, 4.4525, 1.2172, 9.5924, 353.0210, 197.4755, 3.6536, 0.1042, 0.7296, -0.0638, 65.3984, 144.7302, 73.3635, -0.0650, 0.6748, 0.0200, 298.9968, 34.0612, 303.7412, -0.1287, -0.0553, -0.0749, -0.1216, -0.3092, 0.0915, 0.0000
30, 0.4537, 4.4527, 1.2173, 9.5928, 352.7549, 197.6272, 3.7483, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0592, 0.6719, 0.0224, 299.8275, 34.7196, 303.9231, -7.7895, -54.5540, 4.7727, 0.4381, -0.2132, 0.1738, 0.0000
31, 0.4656, 4.4529, 1.2176, 9.5932, 352.6767, 197.7867, 3.8668, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0551, 0.6687, 0.0240, 301.2844, 35.5099, 304.7164, 0.0000, 0.0000, 0.0000, 0.3402, -0.2704, 0.1345, 0.0000
32, 0.4809, 4.4530, 1.2176, 9.5936, 352.6707, 197.8981, 3.9181, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0522, 0.6652, 0.0251, 302.8257, 36.0285, 305.9928, 0.0000, 0.0000, 0.0000, 0.1914, -0.2278, 0.0753, 0.0000
33, 0.4941, 4.4530, 1.2177, 9.5940, 352.7362, 198.0110, 3.9274, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0504, 0.6630, 0.0258, 303.8563, 36.2925, 306.9745, 0.0000, 0.0000, 0.0000, 0.1380, -0.1714, 0.0543, 0.0000
34, 0.5076, 4.4530, 1.2175, 9.5943, 352.9136, 198.1244, 3.9451, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0451, 0.6619, 0.0253, 305.3378, 38.0388, 304.9254, 0.0000, 0.0000, 0.0000, 0.3949, -0.0807, -0.0418, 0.0000
35, 0.5218, 4.4533, 1.2172, 9.5945, 353.1470, 198.2271, 3.9430, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0405, 0.6641, 0.0253, 306.4699, 40.6750, 301.1813, 0.0000, 0.0000, 0.0000, 0.3240, 0.1553, 0.0037, 0.0000
36, 0.5356, 4.4534, 1.2169, 9.5947, 353.4069, 198.2698, 3.9336, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0367, 0.6650, 0.0254, 307.4324, 42.2252, 299.1146, 0.0000, 0.0000, 0.0000, 0.2713, 0.0652, 0.0055, 0.0000
37, 0.5491, 4.4535, 1.2166, 9.5950, 353.7371, 198.3478, 3.9144, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0335, 0.6650, 0.0255, 308.1136, 43.0376, 298.1398, 0.0000, 0.0000, 0.0000, 0.2346, 0.0018, 0.0069, 0.0000
38, 0.5636, 4.4536, 1.2164, 9.5952, 354.0607, 198.4148, 3.8359, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0323, 0.6701, 0.0272, 308.0361, 43.6521, 296.8278, 0.0000, 0.0000, 0.0000, 0.0831, 0.3530, 0.1216, 0.0000
39, 0.5786, 4.4536, 1.2163, 9.5956, 354.3107, 198.5161, 3.7657, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0310, 0.6739, 0.0287, 308.1422, 44.3362, 295.5239, 0.0000, 0.0000, 0.0000, 0.0888, 0.2515, 0.1003, 0.0000
40, 0.5923, 4.4536, 1.2162, 9.5958, 354.4485, 198.6285, 3.6705, 0.0000, 0.0000, 0.0000, 0.0000, 90.0000, 0.0000, -0.0296, 0.6766, 0.0300, 308.3420, 44.7539, 294.8316, 0.0000, 0.0000, 0.0000, 0.1019, 0.1971, 0.0934, 0.0000
41, 0.6066, 4.4537, 1.2162, 9.5959, 354.5143, 198.7157, 3.5987, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -3.8335, 2.0645, -47.1583, -5.9260, 0.0000
