Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
599, 8.3700, TP_Juguetes_2, 5.0259, 7.7050, 2.0128, True, Unknown, 1.6858, Select, Disabled
3525, 49.0204, TP_Mid_3, -1.7099, 4.3600, 2.0133, False, Unknown, 0.0000, Select, Disabled
3812, 53.0059, TP_Decoracion_3, -1.8185, 4.4051, 0.0135, False, Unknown, 0.0000, Disabled, Disabled
3849, 53.5201, TP_Decoracion_3, -1.8104, 4.4038, 0.4998, False, Unknown, 0.0000, Disabled, Disabled
4196, 58.3397, TP_Decoracion_2, -1.7807, 4.3374, 0.3067, False, Unknown, 0.0000, Hover, Disabled
4414, 61.3675, TP_Decoracion_2, -5.3650, 5.1509, 2.0136, True, Unknown, 10.6836, Select, Disabled
4496, 62.5055, TP_Decoracion_3, -5.3763, 5.1433, 0.0139, False, Unknown, 0.0000, Disabled, Disabled
7329, 101.8501, TP_Decoracion_3, -5.3267, 5.1393, 0.0128, False, Unknown, 0.0000, Disabled, Disabled
7385, 102.6276, TP_Decoracion_3, -5.3193, 5.1375, 0.7583, False, Unknown, 0.0000, Disabled, Disabled
7421, 103.1278, TP_Decoracion_3, -5.3146, 5.1381, 0.4849, False, Unknown, 0.0000, Disabled, Disabled
7459, 103.6563, TP_Decoracion_3, -5.3224, 5.1462, 0.3476, False, Unknown, 0.0000, Disabled, Disabled
7496, 104.1695, TP_Decoracion_3, -5.2644, 5.1526, 0.4990, False, Unknown, 0.0000, Disabled, Disabled
7735, 107.4900, TP_Mid_4, -5.3035, 5.1258, 0.0133, False, Unknown, 0.0000, Disabled, Disabled
7793, 108.2956, TP_Mid_4, -5.3043, 5.1205, 0.7769, False, Unknown, 0.0000, Hover, Disabled
7842, 108.9759, TP_Mid_4, -5.3092, 5.1146, 0.4583, False, Unknown, 0.0000, Hover, Disabled
8119, 112.8224, TP_Mid_2, 2.0900, 4.4500, 2.0136, True, Unknown, 5.4069, Select, Disabled
8208, 114.0626, TP_Comida_4, 2.0863, 4.4478, 0.0177, False, Unknown, 0.0000, Disabled, Disabled
8245, 114.5712, TP_Comida_4, 2.0874, 4.4479, 0.4990, False, Unknown, 0.0000, Disabled, Disabled
8493, 118.0162, TP_Moda_2, 2.0788, 4.4433, 0.0974, False, Unknown, 0.0000, Hover, Disabled
8551, 118.8208, TP_Moda_2, 2.0779, 4.4389, 0.7230, False, Unknown, 0.0000, Hover, Disabled
8726, 121.2511, TP_Moda_2, 5.8930, 2.0390, 2.0122, True, Unknown, 7.3972, Select, Disabled
10767, 149.6122, TP_Moda, 5.9059, 2.0079, 0.0969, False, Unknown, 0.0000, Hover, Disabled
10776, 149.7374, TP_Mid_2, 5.9159, 2.0074, 0.0140, False, Unknown, 0.0000, Hover, Hover
10951, 152.1667, TP_Mid, 2.0900, 7.3580, 2.0132, True, Unknown, 3.0795, Select, Hover
11001, 152.8621, TP_Mid_3, 2.0773, 7.3536, 0.0141, False, Unknown, 0.0000, Select, Disabled
11014, 153.0430, TP_Mid_2, 2.0738, 7.3553, 0.0152, False, Unknown, 0.0000, Disabled, Hover
11038, 153.3752, TP_Mid_3, 2.0719, 7.3562, 0.4990, False, Unknown, 0.0000, Disabled, Disabled
11076, 153.9042, TP_Mid_3, 2.0761, 7.3577, 0.3764, False, Unknown, 0.0000, Disabled, Disabled
11114, 154.4314, TP_Mid_3, 2.0841, 7.3564, 0.5145, False, Unknown, 0.0000, Disabled, Disabled
11141, 154.8067, TP_Moda, 2.0832, 7.3555, 0.1382, False, Unknown, 0.0000, Disabled, Hover
11178, 155.3204, TP_Moda, 2.1335, 7.3575, 0.4990, False, Unknown, 0.0000, Disabled, Hover
11187, 155.4444, TP_Mid_3, 2.1586, 7.3700, 0.9995, False, Unknown, 0.0000, Disabled, Hover
