Frame,Timestamp,TaskDuration,Completed
897,12.5072,8.4313,Yes
1649,22.9637,7.2641,Yes
3032,42.1736,18.0992,Yes
4667,64.8811,19.4167,Yes
6674,92.7525,10.2606,No
8965,124.5723,28.4689,Yes
9614,133.5978,6.8726,Yes
11603,161.2241,23.3615,Yes
13301,184.8064,14.4597,Yes
14452,222.7478,44.4686,Yes
