Frame,Timestamp,TaskDuration,Completed
3939,45.6358,8.4044,Yes
4897,58.9967,6.4985,Yes
6038,74.8458,13.3777,Yes
6879,86.5242,10.9702,Yes
8128,103.8711,10.4581,Yes
9639,124.8575,13.5134,Yes
10259,133.4669,8.0125,Yes
11770,154.4533,18.6109,Yes
13170,173.897,14.2208,Yes
15764,209.9242,28.5558,Yes
