Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
3701, 42.3318, TP_Juguetes, 4.5006, 9.3731, 0.8128, False, Unknown, 0.0000, Hover, Disabled
3786, 43.5149, TP_Juguetes_2, 5.0260, 7.7052, 1.1831, True, Unknown, 1.6857, Select, Disabled
6351, 79.1916, TP_Mid_3, -1.4740, 6.8431, 2.0000, True, Unknown, 6.4410, Select, Disabled
7073, 89.2268, TP_Mid_4, -4.2263, 5.1531, 0.7702, False, Unknown, 0.0000, Disabled, Disabled
7110, 89.7341, TP_Mid_4, -4.3224, 5.1359, 0.4999, False, Unknown, 0.0000, Disabled, Disabled
8814, 113.3998, TP_Tecnologia_2, -4.2696, 5.1075, 0.6123, False, Unknown, 0.0000, Hover, Disabled
8970, 115.5661, TP_Mid_4, -4.2704, 5.1400, 0.0149, False, Unknown, 0.0000, Disabled, Disabled
9007, 116.0787, TP_Mid_4, -4.2739, 5.1626, 0.4989, False, Unknown, 0.0000, Hover, Disabled
9120, 117.6477, TP_Moda_2, -4.2828, 5.1724, 0.7901, False, Unknown, 0.0000, Hover, Disabled
9263, 119.6354, TP_Moda_2, -4.2806, 5.1706, 1.4043, False, Unknown, 0.0000, Hover, Disabled
9449, 122.2195, TP_Moda_2, 5.8930, 2.0391, 1.9997, True, Unknown, 7.3971, Select, Disabled
10909, 142.4963, TP_Moda, 5.8503, 2.0728, 0.1386, False, Unknown, 0.0000, Hover, Disabled
10952, 143.0935, TP_Mid_2, 5.8548, 2.0707, 0.1798, False, Unknown, 0.0000, Hover, Disabled
11110, 145.2941, TP_Mid, 2.0901, 7.3580, 2.0065, True, Unknown, 3.0794, Select, Disabled
11181, 146.2748, TP_Mid_2, 2.0959, 7.3567, 0.0141, False, Unknown, 0.0000, Disabled, Disabled
11360, 148.7591, TP_Juguetes_2, 2.0832, 7.3528, 0.0138, False, Unknown, 0.0000, Disabled, Disabled
11396, 149.2592, TP_Juguetes_2, 2.0872, 7.3476, 0.4869, False, Unknown, 0.0000, Hover, Disabled
11518, 150.9531, TP_Juguetes, 5.0371, 6.4330, 1.8462, True, Unknown, 2.9207, Select, Disabled
13322, 176.0076, TP_Juguetes, 5.0084, 6.4935, 0.0127, False, Unknown, 0.0000, Disabled, Disabled
13354, 176.4508, TP_Juguetes_2, 5.0274, 6.4838, 0.0129, False, Unknown, 0.0000, Disabled, Disabled
13359, 176.5216, TP_Juguetes, 5.0314, 6.4854, 0.4995, False, Unknown, 0.0000, Disabled, Hover
13478, 178.1743, TP_Mid, 5.0272, 6.4973, 0.0140, False, Unknown, 0.0000, Disabled, Hover
13564, 179.3688, TP_Juguetes_2, 4.9993, 6.5016, 2.9030, False, Unknown, 0.0000, Hover, Hover
13664, 180.7583, TP_Juguetes, 5.0088, 6.5230, 0.1808, False, Unknown, 0.0000, Hover, Disabled
13748, 181.9249, TP_Juguetes, 5.0120, 6.5206, 1.0278, False, Unknown, 0.0000, Disabled, Hover
14200, 188.2028, TP_Moda, 5.0082, 6.5009, 0.0140, False, Unknown, 0.0000, Disabled, Disabled
14237, 188.7162, TP_Moda, 5.0061, 6.5022, 0.4995, False, Unknown, 0.0000, Disabled, Disabled
14273, 189.2162, TP_Moda, 4.9994, 6.5050, 0.4872, False, Unknown, 0.0000, Disabled, Disabled
14310, 189.7299, TP_Moda, 4.9923, 6.5052, 0.5011, False, Unknown, 0.0000, Disabled, Disabled
14328, 189.9803, TP_Moda_2, 4.9911, 6.5059, 0.0135, False, Unknown, 0.0000, Disabled, Hover
14347, 190.2443, TP_Moda, 4.9731, 6.5073, 0.5006, False, Unknown, 0.0000, Disabled, Hover
14349, 190.2781, TP_Comida_4, 4.9694, 6.5072, 0.2149, False, Unknown, 0.0000, Disabled, Hover
14413, 191.1613, TP_Moda, 4.9524, 6.5139, 0.4170, False, Unknown, 0.0000, Disabled, Hover
14473, 191.9940, TP_Comida, 4.9283, 6.5191, 0.2643, False, Unknown, 0.0000, Disabled, Hover
14474, 192.0072, TP_Comida_2, 4.9279, 6.5189, 0.0132, False, Unknown, 0.0000, Disabled, Hover
14561, 193.2170, TP_Comida, 4.9251, 6.5163, 1.2098, False, Unknown, 0.0000, Disabled, Disabled
14636, 194.2579, TP_Comida, 4.9216, 6.5144, 0.3451, False, Unknown, 0.0000, Disabled, Hover
14650, 194.4524, TP_Comida_2, 4.9162, 6.5125, 0.1945, False, Unknown, 0.0000, Disabled, Hover
14755, 195.9104, TP_Comida, 1.9350, 1.1880, 1.4580, True, Unknown, 8.5019, Disabled, Select
