Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
4422, 52.3824, baby_yoda, Juguetes, Select, 5.5190, 1.4113, 7.2935, 1.2428, 274.7132, 355.5104, 0.1060, 0.1060, 0.1060, Select, Normal
4425, 52.4243, baby_yoda, Juguetes, Select, 5.4896, 1.3924, 7.2363, 18.3778, 303.5064, 328.4687, 0.1060, 0.1060, 0.1060, Select, Normal
4428, 52.4671, baby_yoda, Juguetes, Select, 5.4631, 1.3991, 7.2232, 27.4826, 312.9481, 320.3224, 0.1060, 0.1060, 0.1060, Select, Normal
4431, 52.5075, baby_yoda, Juguetes, Select, 5.4623, 1.4004, 7.2228, 27.3744, 313.6129, 320.6155, 0.1060, 0.1060, 0.1060, Select, Normal
4434, 52.5488, baby_yoda, Juguetes, Select, 5.4616, 1.4028, 7.2225, 27.4173, 314.0951, 320.8582, 0.1060, 0.1060, 0.1060, Select, Normal
4437, 52.5907, baby_yoda, Juguetes, Select, 5.4622, 1.4058, 7.2230, 27.7987, 314.2307, 321.1818, 0.1060, 0.1060, 0.1060, Select, Normal
4440, 52.6324, baby_yoda, Juguetes, Select, 5.4629, 1.4085, 7.2230, 28.1881, 314.3689, 321.4185, 0.1060, 0.1060, 0.1060, Select, Normal
4443, 52.6751, baby_yoda, Juguetes, Select, 5.4637, 1.4099, 7.2228, 28.6068, 314.1605, 321.3840, 0.1060, 0.1060, 0.1060, Select, Normal
4446, 52.7168, baby_yoda, Juguetes, Select, 5.4643, 1.4113, 7.2220, 29.0331, 314.0746, 321.3175, 0.1060, 0.1060, 0.1060, Select, Normal
4449, 52.7590, baby_yoda, Juguetes, Select, 5.4652, 1.4123, 7.2222, 29.3620, 313.8167, 321.4498, 0.1060, 0.1060, 0.1060, Select, Normal
4452, 52.8004, baby_yoda, Juguetes, Select, 5.4660, 1.4129, 7.2227, 29.5797, 313.6687, 321.8043, 0.1060, 0.1060, 0.1060, Select, Normal
4455, 52.8422, baby_yoda, Juguetes, Select, 5.4669, 1.4135, 7.2235, 29.7301, 313.5922, 322.2851, 0.1060, 0.1060, 0.1060, Select, Normal
4458, 52.8836, baby_yoda, Juguetes, Select, 5.4675, 1.4138, 7.2241, 29.8042, 313.5137, 322.5609, 0.1060, 0.1060, 0.1060, Select, Normal
4461, 52.9252, baby_yoda, Juguetes, Select, 5.4676, 1.4136, 7.2248, 29.7807, 313.2412, 322.4835, 0.1060, 0.1060, 0.1060, Select, Normal
4464, 52.9673, baby_yoda, Juguetes, Select, 5.4675, 1.4137, 7.2263, 29.8187, 312.9958, 322.5824, 0.1060, 0.1060, 0.1060, Select, Normal
4467, 53.0083, baby_yoda, Juguetes, Select, 5.4669, 1.4148, 7.2304, 29.9738, 312.5731, 322.8634, 0.1060, 0.1060, 0.1060, Select, Normal
4470, 53.0496, baby_yoda, Juguetes, Select, 5.4665, 1.4166, 7.2359, 30.1445, 312.1368, 323.3418, 0.1060, 0.1060, 0.1060, Select, Normal
4473, 53.0912, baby_yoda, Juguetes, Select, 5.4658, 1.4200, 7.2452, 30.5659, 311.3641, 324.2689, 0.1060, 0.1060, 0.1060, Select, Normal
4476, 53.1344, baby_yoda, Juguetes, Select, 5.4648, 1.4239, 7.2556, 31.0776, 310.2374, 325.0223, 0.1060, 0.1060, 0.1060, Select, Normal
