Frame, Timestamp, Object, State, Handedness
4303, 50.6907, baby_yoda, Pointing, RightHanded
4304, 50.7119, baby_yoda, Pointing, RightHanded
4305, 50.7265, baby_yoda, Pointing, RightHanded
4306, 50.7572, baby_yoda, Pointing, RightHanded
4307, 50.7638, baby_yoda, Pointing, RightHanded
4308, 50.7788, baby_yoda, Pointing, RightHanded
4309, 50.7910, baby_yoda, Pointing, RightHanded
4310, 50.8094, baby_yoda, Pointing, RightHanded
4311, 50.8200, baby_yoda, Pointing, RightHanded
4312, 50.8393, baby_yoda, Pointing, RightHanded
7273, 91.9965, quemador, Pointing, RightHanded
7274, 92.0102, quemador, Pointing, RightHanded
7275, 92.0253, quemador, Pointing, RightHanded
7276, 92.0390, quemador, Pointing, RightHanded
7277, 92.0517, quemador, Pointing, RightHanded
7278, 92.0677, quemador, Pointing, RightHanded
7279, 92.0811, quemador, Pointing, RightHanded
7280, 92.1007, quemador, Pointing, RightHanded
7281, 92.1121, quemador, Pointing, RightHanded
7282, 92.1247, quemador, Pointing, RightHanded
7283, 92.1384, quemador, Pointing, RightHanded
7284, 92.1512, quemador, Pointing, RightHanded
7285, 92.1660, quemador, Pointing, RightHanded
7286, 92.1797, quemador, Pointing, RightHanded
7287, 92.1915, quemador, Pointing, RightHanded
7288, 92.2057, quemador, Pointing, RightHanded
7289, 92.2206, quemador, Pointing, RightHanded
7290, 92.2334, quemador, Pointing, RightHanded
7291, 92.2463, quemador, Pointing, RightHanded
7292, 92.2608, quemador, Pointing, RightHanded
7293, 92.2746, quemador, Pointing, RightHanded
7294, 92.2875, quemador, Pointing, RightHanded
7295, 92.3020, quemador, Pointing, RightHanded
7296, 92.3164, quemador, Pointing, RightHanded
7297, 92.3289, quemador, Pointing, RightHanded
7298, 92.3440, quemador, Pointing, RightHanded
7299, 92.3576, quemador, Pointing, RightHanded
7300, 92.3708, quemador, Pointing, RightHanded
7301, 92.3856, quemador, Pointing, RightHanded
7302, 92.3991, quemador, Pointing, RightHanded
7303, 92.4120, quemador, Pointing, RightHanded
7304, 92.4270, quemador, Pointing, RightHanded
7305, 92.4409, quemador, Pointing, RightHanded
7306, 92.4555, quemador, Pointing, RightHanded
7307, 92.4677, quemador, Pointing, RightHanded
7308, 92.4826, quemador, Pointing, RightHanded
7309, 92.4964, quemador, Pointing, RightHanded
7310, 92.5097, quemador, Pointing, RightHanded
7311, 92.5241, quemador, Pointing, RightHanded
7312, 92.5386, quemador, Pointing, RightHanded
7313, 92.5512, quemador, Pointing, RightHanded
7314, 92.5663, quemador, Pointing, RightHanded
7315, 92.5805, quemador, Pointing, RightHanded
7316, 92.5937, quemador, Pointing, RightHanded
7317, 92.6061, quemador, Pointing, RightHanded
7318, 92.6215, quemador, Pointing, RightHanded
7319, 92.6362, quemador, Pointing, RightHanded
7320, 92.6480, quemador, Pointing, RightHanded
7321, 92.6632, quemador, Pointing, RightHanded
7322, 92.6770, quemador, Pointing, RightHanded
7323, 92.6901, quemador, Pointing, RightHanded
7324, 92.7050, quemador, Pointing, RightHanded
7325, 92.7185, quemador, Pointing, RightHanded
7326, 92.7316, quemador, Pointing, RightHanded
7327, 92.7464, quemador, Pointing, RightHanded
7328, 92.7605, quemador, Pointing, RightHanded
7329, 92.7746, quemador, Pointing, RightHanded
7330, 92.7876, quemador, Pointing, RightHanded
7331, 92.8021, quemador, Pointing, RightHanded
7332, 92.8163, quemador, Pointing, RightHanded
7333, 92.8288, quemador, Pointing, RightHanded
7334, 92.8442, quemador, Pointing, RightHanded
