Frame, Timestamp, RightHand_State, LeftHand_State
1829, 25.4548, Disabled, Hover
1830, 25.4695, Disabled, Hover
1831, 25.4837, Disabled, Hover
1832, 25.4972, Disabled, Hover
1833, 25.5100, Disabled, Hover
1834, 25.5242, Disabled, Hover
1835, 25.5382, Disabled, Hover
1836, 25.5519, Disabled, Hover
1837, 25.5668, Disabled, Hover
1838, 25.5800, Disabled, Hover
1839, 25.5936, Disabled, Hover
1840, 25.6081, Disabled, Hover
1841, 25.6218, Disabled, Hover
1842, 25.6360, Disabled, Hover
1843, 25.6495, Disabled, Hover
1844, 25.6634, Disabled, Hover
1845, 25.6772, Disabled, Hover
1846, 25.6917, Disabled, Hover
1847, 25.7052, Disabled, Hover
1848, 25.7189, Disabled, Hover
1849, 25.7328, Disabled, Hover
1850, 25.7475, Disabled, Hover
1851, 25.7610, Disabled, Hover
1852, 25.7748, Disabled, Hover
1853, 25.7878, Disabled, Hover
1854, 25.8020, Disabled, Hover
1855, 25.8174, Disabled, Hover
1856, 25.8307, Disabled, Hover
1857, 25.8437, Disabled, Hover
1858, 25.8577, Disabled, Hover
1859, 25.8711, Disabled, Hover
1860, 25.8856, Disabled, Hover
1861, 25.8999, Disabled, Hover
1862, 25.9129, Disabled, Hover
1863, 25.9281, Disabled, Hover
1864, 25.9414, Disabled, Hover
1865, 25.9553, Disabled, Hover
1866, 25.9683, Disabled, Hover
1867, 25.9830, Disabled, Hover
1868, 25.9976, Disabled, Disabled
1869, 26.0101, Disabled, Hover
1870, 26.0245, Disabled, Disabled
1871, 26.0424, Disabled, Hover
1872, 26.0522, Disabled, Disabled
1873, 26.0682, Disabled, Hover
1874, 26.0822, Disabled, Disabled
1875, 26.0948, Disabled, Hover
1876, 26.1081, Disabled, Disabled
1877, 26.1223, Disabled, Hover
1878, 26.1370, Disabled, Disabled
1879, 26.1497, Disabled, Hover
1880, 26.1636, Disabled, Disabled
1881, 26.1772, Disabled, Hover
1882, 26.1909, Disabled, Disabled
1883, 26.2051, Disabled, Hover
1884, 26.2193, Disabled, Disabled
1885, 26.2319, Disabled, Hover
1886, 26.2471, Disabled, Disabled
1887, 26.2613, Disabled, Hover
1888, 26.2744, Disabled, Disabled
1889, 26.2873, Disabled, Hover
1890, 26.3018, Disabled, Disabled
1891, 26.3158, Disabled, Hover
1892, 26.3290, Disabled, Disabled
1893, 26.3431, Disabled, Hover
1894, 26.3571, Disabled, Disabled
1895, 26.3707, Disabled, Hover
1896, 26.3852, Disabled, Disabled
1897, 26.3998, Disabled, Hover
1898, 26.4138, Disabled, Disabled
1899, 26.4268, Disabled, Hover
1900, 26.4411, Disabled, Disabled
1901, 26.4548, Disabled, Hover
1902, 26.4682, Disabled, Disabled
1903, 26.4820, Disabled, Hover
1904, 26.4966, Disabled, Disabled
1905, 26.5099, Disabled, Hover
1906, 26.5246, Disabled, Disabled
1907, 26.5378, Disabled, Hover
1908, 26.5511, Disabled, Disabled
1909, 26.5664, Disabled, Hover
1910, 26.5806, Disabled, Disabled
1911, 26.5948, Disabled, Hover
1912, 26.6064, Disabled, Disabled
1913, 26.6210, Disabled, Select
1914, 26.6346, Disabled, Disabled
1915, 26.6487, Disabled, Hover
