Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
913, 11.3876, TP_Juguetes2_Adjacent, 4.4585, 9.7026, 1.7350, False, Unknown, 0.0000, Hover, Disabled
970, 12.1800, TP_Mid, 4.3938, 9.6709, 0.0558, False, Unknown, 0.0000, Disabled, Disabled
1386, 17.9572, TP_Juguetes2_Adjacent, 4.4842, 9.6911, 1.3749, False, Unknown, 0.0000, Hover, Disabled
1659, 21.7620, TP_Juguetes_Adjacent, 4.4776, 9.6871, 1.7488, False, Unknown, 0.0000, Hover, Disabled
1774, 23.3605, TP_Juguetes_Adjacent, 4.4789, 9.6875, 0.6117, False, Unknown, 0.0000, Hover, Disabled
1809, 23.8464, TP_Juguetes2_Adjacent, 4.4792, 9.6872, 0.4859, False, Unknown, 0.0000, Hover, Disabled
1964, 25.9990, TP_Juguetes_Adjacent, 4.5201, 9.6965, 1.3892, False, Unknown, 0.0000, Hover, Disabled
1981, 26.2347, TP_Juguetes2_Adjacent, 4.5213, 9.6960, 0.2358, False, Unknown, 0.0000, Hover, Disabled
2254, 30.0266, TP_Juguetes_Adjacent, 4.5150, 9.6891, 3.7919, False, Unknown, 0.0000, Hover, Disabled
2534, 33.9187, TP_Juguetes_Adjacent, 5.1939, 6.8281, 3.1004, True, Unknown, 2.8133, Select, Disabled
7164, 98.2316, TP_Mid, 5.2478, 6.5786, 1.4025, False, Unknown, 0.0000, Hover, Disabled
7243, 99.3292, TP_Mid, 5.2492, 6.5936, 0.8607, False, Unknown, 0.0000, Hover, Disabled
7288, 99.9551, TP_Mid, 5.2520, 6.6083, 0.0282, False, Unknown, 0.0000, Hover, Disabled
7324, 100.4552, TP_Mid, 5.2435, 6.5963, 0.4730, False, Unknown, 0.0000, Disabled, Disabled
7501, 102.9125, TP_Mid, 5.2500, 6.6041, 0.1657, False, Unknown, 0.0000, Hover, Disabled
7538, 103.4266, TP_Mid, 5.2468, 6.5943, 0.4588, False, Unknown, 0.0000, Hover, Disabled
7575, 103.9409, TP_Mid, 5.2429, 6.5811, 0.4443, False, Unknown, 0.0000, Hover, Disabled
8115, 111.4407, TP_Mid_3, -1.1290, 7.1820, 7.4998, True, Unknown, 6.0911, Select, Disabled
8166, 112.1486, TP_Mid_6, -1.1272, 7.1846, 0.6943, False, Unknown, 0.0000, Hover, Disabled
8192, 112.5108, TP_Mid_4, -1.1420, 7.1901, 0.0839, False, Unknown, 0.0000, Hover, Disabled
8274, 113.6491, TP_Mid_4, -1.1868, 7.1863, 0.6809, False, Unknown, 0.0000, Hover, Disabled
8327, 114.3853, TP_Mid_4, -1.2084, 7.1968, 0.2366, False, Unknown, 0.0000, Hover, Disabled
8435, 115.8855, TP_Decoracion2_Adjacent, -1.2182, 7.2129, 0.3607, False, Unknown, 0.0000, Hover, Disabled
8439, 115.9413, TP_Decoracion_Adjacent, -1.2195, 7.2131, 0.0559, False, Unknown, 0.0000, Hover, Disabled
8476, 116.4552, TP_Decoracion2_Adjacent, -1.2172, 7.2020, 0.5139, False, Unknown, 0.0000, Hover, Disabled
8654, 118.9261, TP_Decoracion2_Adjacent, -1.2267, 7.2108, 0.2072, False, Unknown, 0.0000, Hover, Disabled
8698, 119.5379, TP_Decoracion2_Adjacent, -1.2273, 7.2109, 0.3343, False, Unknown, 0.0000, Hover, Disabled
9353, 128.6353, TP_Decoracion2_Adjacent, -1.2336, 7.2114, 7.6246, False, Unknown, 0.0000, Hover, Disabled
9354, 128.6491, TP_Decoracion_Adjacent, -1.2337, 7.2114, 0.0138, False, Unknown, 0.0000, Hover, Disabled
9391, 129.1629, TP_Decoracion_Adjacent, -1.2351, 7.2128, 0.1535, False, Unknown, 0.0000, Hover, Disabled
9477, 130.3564, TP_Decoracion2_Adjacent, -1.2341, 7.2126, 1.2620, False, Unknown, 0.0000, Hover, Disabled
9523, 130.9965, TP_Decoracion2_Adjacent, -1.2355, 7.2117, 0.4306, False, Unknown, 0.0000, Hover, Disabled
9542, 131.2592, TP_Decoracion3_Adjacent, -4.4770, 4.9922, 0.0411, False, Unknown, 0.0000, Hover, Disabled
9560, 131.5081, TP_Decoracion2_Adjacent, -4.4774, 4.9921, 0.4707, False, Unknown, 0.0000, Hover, Disabled
9578, 131.7593, TP_Decoracion3_Adjacent, -4.4691, 4.9940, 0.0708, False, Unknown, 0.0000, Hover, Disabled
11710, 161.3691, TP_Mid_5, -4.3008, 5.0678, 0.6942, False, Unknown, 0.0000, Hover, Disabled
11730, 161.6479, TP_Mid_2, -4.3020, 5.0674, 0.0566, False, Unknown, 0.0000, Hover, Disabled
11754, 161.9806, TP_Mid_5, -4.3021, 5.0671, 0.3192, False, Unknown, 0.0000, Hover, Disabled
11848, 163.2862, TP_Mid_5, 2.7810, 2.6870, 1.0975, True, Unknown, 7.0709, Select, Disabled
12186, 167.9810, TP_Moda2_Adjacent, 2.7216, 2.7218, 0.2646, False, Unknown, 0.0000, Hover, Disabled
12254, 168.9249, TP_Moda2_Adjacent, 2.7231, 2.7208, 0.1950, False, Unknown, 0.0000, Hover, Disabled
12343, 170.1612, TP_Moda2_Adjacent, 2.7197, 2.7204, 1.2222, False, Unknown, 0.0000, Hover, Disabled
12379, 170.6613, TP_Moda2_Adjacent, 2.7000, 2.6933, 0.3060, False, Unknown, 0.0000, Hover, Disabled
12639, 174.2718, TP_Moda2_Adjacent, 2.6610, 2.7508, 1.7229, False, Unknown, 0.0000, Hover, Disabled
12676, 174.7858, TP_Moda2_Adjacent, 2.6628, 2.7463, 0.3753, False, Unknown, 0.0000, Hover, Disabled
12738, 175.6470, TP_Moda2_Adjacent, 2.6536, 2.7473, 0.0562, False, Unknown, 0.0000, Hover, Disabled
12777, 176.1884, TP_Moda2_Adjacent, 2.6312, 2.7403, 0.5134, False, Unknown, 0.0000, Hover, Disabled
12858, 177.3136, TP_Moda2_Adjacent, 2.6335, 2.7207, 0.8749, False, Unknown, 0.0000, Hover, Disabled
13146, 181.3139, TP_Moda2_Adjacent, 2.6688, 2.7363, 3.8620, False, Unknown, 0.0000, Hover, Disabled
13226, 182.4246, TP_Moda2_Adjacent, 2.6712, 2.7367, 0.5418, False, Unknown, 0.0000, Hover, Disabled
13267, 182.9943, TP_Moda2_Adjacent, 2.6714, 2.7372, 0.3478, False, Unknown, 0.0000, Hover, Disabled
13435, 185.3268, TP_Moda2_Adjacent, 6.0310, 2.1529, 1.5964, True, Unknown, 7.5573, Select, Disabled
17497, 241.7427, TP_Mid, 6.0464, 2.0861, 1.5695, False, Unknown, 0.0000, Hover, Disabled
17636, 243.6728, TP_Mid, 2.0900, 7.3580, 1.6252, True, Unknown, 3.2452, Select, Disabled
17670, 244.1459, TP_Mid_5, 2.1003, 7.3645, 0.1249, False, Unknown, 0.0000, Hover, Disabled
17712, 244.7282, TP_Mid_2, 2.0886, 7.3668, 0.5822, False, Unknown, 0.0000, Hover, Disabled
17910, 247.4776, TP_Juguetes_Adjacent, 2.1472, 7.3717, 0.3896, False, Unknown, 0.0000, Hover, Disabled
17947, 247.9912, TP_Juguetes_Adjacent, 2.1473, 7.3666, 0.3746, False, Unknown, 0.0000, Hover, Disabled
17988, 248.5610, TP_Juguetes_Adjacent, 2.1489, 7.3673, 0.2922, False, Unknown, 0.0000, Hover, Disabled
18057, 249.5193, TP_Juguetes_Adjacent, 2.1505, 7.3663, 0.5975, False, Unknown, 0.0000, Hover, Disabled
18316, 253.1163, TP_Juguetes_Adjacent, 5.1939, 6.8276, 2.8606, True, Unknown, 2.8137, Select, Disabled
20566, 284.3663, TP_Moda_Adjacent, 5.1940, 4.3354, 2.9586, True, Unknown, 5.2628, Select, Disabled
