Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
3194, 56.9458, baby_yoda, Juguetes, Select, 5.5180, 1.4191, 7.3020, 0.0000, 270.0002, 0.0000, 0.1060, 0.1060, 0.1060, Select, Normal
3197, 56.9789, baby_yoda, Juguetes, Select, 5.5166, 1.4192, 7.3015, 0.3086, 270.2321, 359.8999, 0.1060, 0.1060, 0.1060, Select, Normal
3200, 57.0220, baby_yoda, Juguetes, Select, 5.5159, 1.4191, 7.3008, 0.5589, 270.2692, 359.7047, 0.1060, 0.1060, 0.1060, Select, Normal
3203, 57.0635, baby_yoda, Juguetes, Select, 5.5158, 1.4195, 7.2998, 0.7946, 270.2682, 359.4610, 0.1060, 0.1060, 0.1060, Select, Normal
3206, 57.1046, baby_yoda, Juguetes, Select, 5.5158, 1.4200, 7.2986, 0.9151, 270.3502, 359.1916, 0.1060, 0.1060, 0.1060, Select, Normal
3209, 57.1476, baby_yoda, Juguetes, Select, 5.5147, 1.4199, 7.2971, 0.7478, 270.5942, 358.9646, 0.1060, 0.1060, 0.1060, Select, Normal
3212, 57.1870, baby_yoda, Juguetes, Select, 5.5139, 1.4204, 7.2952, 0.6658, 270.9135, 358.7026, 0.1060, 0.1060, 0.1060, Select, Normal
3214, 57.2171, baby_yoda, Juguetes, Select, 5.5133, 1.4212, 7.2940, 0.6681, 271.2054, 358.5657, 0.1060, 0.1060, 0.1060, Select, Normal
3217, 57.2582, baby_yoda, Juguetes, Select, 5.5144, 1.4221, 7.2927, 0.9950, 271.4306, 358.5292, 0.1060, 0.1060, 0.1060, Select, Normal
3220, 57.2992, baby_yoda, Juguetes, Select, 5.5154, 1.4228, 7.2915, 1.2395, 271.7156, 358.5817, 0.1060, 0.1060, 0.1060, Select, Normal
3223, 57.3426, baby_yoda, Juguetes, Select, 5.5171, 1.4235, 7.2913, 1.6260, 271.4219, 358.6181, 0.1060, 0.1060, 0.1060, Select, Normal
3226, 57.3833, baby_yoda, Juguetes, Select, 5.5188, 1.4241, 7.2915, 1.9821, 270.9731, 358.6815, 0.1060, 0.1060, 0.1060, Select, Normal
3229, 57.4255, baby_yoda, Juguetes, Select, 5.5199, 1.4245, 7.2920, 2.1214, 270.6850, 358.8156, 0.1060, 0.1060, 0.1060, Select, Normal
3232, 57.4660, baby_yoda, Juguetes, Select, 5.5198, 1.4241, 7.2919, 1.9206, 270.7098, 358.9456, 0.1060, 0.1060, 0.1060, Select, Normal
3235, 57.5085, baby_yoda, Juguetes, Select, 5.5198, 1.4239, 7.2917, 1.7986, 270.7290, 359.0149, 0.1060, 0.1060, 0.1060, Select, Normal
3238, 57.5489, baby_yoda, Juguetes, Select, 5.5197, 1.4242, 7.2916, 1.7718, 270.6274, 358.9217, 0.1060, 0.1060, 0.1060, Select, Normal
3240, 57.5790, baby_yoda, Juguetes, Select, 5.5194, 1.4250, 7.2913, 1.8790, 270.5047, 358.6705, 0.1060, 0.1060, 0.1060, Select, Normal
3243, 57.6212, baby_yoda, Juguetes, Select, 5.5189, 1.4273, 7.2910, 2.2331, 270.2975, 358.1474, 0.1060, 0.1060, 0.1060, Select, Normal
3246, 57.6623, baby_yoda, Juguetes, Select, 5.5175, 1.4285, 7.2912, 2.4153, 270.5739, 358.2003, 0.1060, 0.1060, 0.1060, Select, Normal
3249, 57.7042, baby_yoda, Juguetes, Select, 5.5169, 1.4296, 7.2925, 2.5445, 270.8886, 358.6425, 0.1060, 0.1060, 0.1060, Select, Normal
3252, 57.7461, baby_yoda, Juguetes, Select, 5.5166, 1.4304, 7.2941, 2.6422, 271.2029, 359.2371, 0.1060, 0.1060, 0.1060, Select, Normal
3255, 57.7867, baby_yoda, Juguetes, Select, 5.5165, 1.4310, 7.2959, 2.7065, 271.1919, 359.7448, 0.1060, 0.1060, 0.1060, Select, Normal
3258, 57.8280, baby_yoda, Juguetes, Select, 5.5166, 1.4316, 7.2972, 2.7975, 270.9956, 0.0067, 0.1060, 0.1060, 0.1060, Select, Normal
3261, 57.8704, baby_yoda, Juguetes, Select, 5.5158, 1.4325, 7.2971, 2.8279, 270.5753, 359.8473, 0.1060, 0.1060, 0.1060, Select, Normal
3264, 57.9113, baby_yoda, Juguetes, Select, 5.5147, 1.4336, 7.2957, 2.7334, 270.1256, 359.3641, 0.1060, 0.1060, 0.1060, Select, Normal
3267, 57.9529, baby_yoda, Juguetes, Select, 5.5127, 1.4350, 7.2928, 2.4471, 269.8829, 358.7994, 0.1060, 0.1060, 0.1060, Select, Normal
3270, 57.9942, baby_yoda, Juguetes, Select, 5.5104, 1.4369, 7.2899, 2.1241, 269.6291, 358.2854, 0.1060, 0.1060, 0.1060, Select, Normal
3273, 58.0355, baby_yoda, Juguetes, Select, 5.5068, 1.4400, 7.2890, 1.6717, 269.3525, 357.9906, 0.1060, 0.1060, 0.1060, Select, Normal
3276, 58.0785, baby_yoda, Juguetes, Select, 5.5005, 1.4464, 7.2905, 1.2422, 268.9164, 357.7026, 0.1060, 0.1060, 0.1060, Select, Normal
3279, 58.1192, baby_yoda, Juguetes, Select, 5.4950, 1.4526, 7.2912, 0.7999, 268.7408, 357.2961, 0.1060, 0.1060, 0.1060, Select, Normal
3282, 58.1613, baby_yoda, Juguetes, Select, 5.4873, 1.4624, 7.2912, 359.9827, 269.1322, 356.9239, 0.1060, 0.1060, 0.1060, Select, Normal
3285, 58.2037, baby_yoda, Juguetes, Select, 5.4735, 1.4728, 7.2895, 358.3785, 269.3835, 356.0322, 0.1060, 0.1060, 0.1060, Select, Normal
3288, 58.2452, baby_yoda, Juguetes, Select, 5.4640, 1.4834, 7.2873, 357.5143, 270.0811, 355.5013, 0.1060, 0.1060, 0.1060, Select, Normal
3291, 58.2865, baby_yoda, Juguetes, Select, 5.4576, 1.4933, 7.2795, 356.7215, 271.2588, 353.9578, 0.1060, 0.1060, 0.1060, Select, Normal
3294, 58.3283, baby_yoda, Juguetes, Select, 5.4617, 1.5042, 7.2755, 357.8888, 271.8244, 352.7062, 0.1060, 0.1060, 0.1060, Select, Normal
3297, 58.3699, baby_yoda, Juguetes, Select, 5.4638, 1.5126, 7.2662, 359.0470, 271.0742, 349.2854, 0.1060, 0.1060, 0.1060, Select, Normal
3300, 58.4114, baby_yoda, Juguetes, Select, 5.4681, 1.5236, 7.2553, 1.2341, 269.6660, 344.8243, 0.1060, 0.1060, 0.1060, Select, Normal
3303, 58.4522, baby_yoda, Juguetes, Select, 5.4670, 1.5316, 7.2487, 2.0299, 269.2064, 342.1329, 0.1060, 0.1060, 0.1060, Select, Normal
3305, 58.4827, baby_yoda, Juguetes, Select, 5.4611, 1.5386, 7.2474, 2.0219, 268.7126, 339.9571, 0.1060, 0.1060, 0.1060, Select, Normal
3308, 58.5241, baby_yoda, Juguetes, Select, 5.4543, 1.5503, 7.2470, 1.5656, 268.0760, 337.8812, 0.1060, 0.1060, 0.1060, Select, Normal
3311.0000, 58.5662, baby_yoda, Juguetes, Hover, 5.4507, 1.5558, 7.2441, 1.2963, 267.9255, 336.6275, 0.1060, 0.1060, 0.1060, Hover, Normal
17076, 272.0192, quemador, Decoracion, Select, -4.9799, 1.7830, 4.6070, 357.1305, 329.4375, 355.1544, 0.3139, 0.3139, 0.3139, Select, Normal
17078, 272.0733, quemador, Decoracion, Select, -4.9792, 1.7861, 4.6005, 356.0180, 330.4931, 357.5403, 0.3139, 0.3139, 0.3139, Select, Normal
17080, 272.1158, quemador, Decoracion, Select, -4.9788, 1.7890, 4.5935, 354.9498, 332.1016, 359.8206, 0.3139, 0.3139, 0.3139, Select, Normal
17082, 272.1566, quemador, Decoracion, Select, -4.9786, 1.7887, 4.5909, 354.6588, 333.2491, 359.9801, 0.3139, 0.3139, 0.3139, Select, Normal
17084, 272.1899, quemador, Decoracion, Select, -4.9777, 1.7882, 4.5887, 354.5788, 334.3113, 359.8383, 0.3139, 0.3139, 0.3139, Select, Normal
17086, 272.2286, quemador, Decoracion, Select, -4.9766, 1.7842, 4.5881, 353.8146, 335.2222, 358.6047, 0.3139, 0.3139, 0.3139, Select, Normal
17088, 272.2810, quemador, Decoracion, Select, -4.9754, 1.7818, 4.5869, 352.9721, 335.8287, 358.0558, 0.3139, 0.3139, 0.3139, Select, Normal
17090, 272.3224, quemador, Decoracion, Select, -4.9739, 1.7817, 4.5854, 352.2968, 336.2235, 358.1801, 0.3139, 0.3139, 0.3139, Select, Normal
17093, 272.3673, quemador, Decoracion, Select, -4.9702, 1.7848, 4.5833, 351.6808, 336.1327, 359.1388, 0.3139, 0.3139, 0.3139, Select, Normal
17095, 272.4078, quemador, Decoracion, Select, -4.9682, 1.7887, 4.5816, 351.8296, 335.9669, 0.0659, 0.3139, 0.3139, 0.3139, Select, Normal
17097, 272.4500, quemador, Decoracion, Select, -4.9670, 1.7913, 4.5811, 352.2795, 335.7286, 0.4530, 0.3139, 0.3139, 0.3139, Select, Normal
17099, 272.4940, quemador, Decoracion, Select, -4.9660, 1.7955, 4.5828, 353.6329, 335.1354, 0.7712, 0.3139, 0.3139, 0.3139, Select, Normal
17101, 272.5334, quemador, Decoracion, Select, -4.9653, 1.7992, 4.5845, 355.0482, 334.5014, 0.7331, 0.3139, 0.3139, 0.3139, Select, Normal
17103, 272.5733, quemador, Decoracion, Select, -4.9646, 1.7984, 4.5855, 355.2817, 334.2657, 0.0347, 0.3139, 0.3139, 0.3139, Select, Normal
