Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
45, 1.2200, letrero_juguetes, ==SIGNBOARDS==, 4.5125, 1.2380, 9.5731, 0.0007, -0.9696, -0.2235, 4.3775, 1.2439, 9.5465, 0.0007, -0.9696, -0.2235, 4.4818, 1.2393, 9.5671, 5.1687, 2.7878, 6.4236
45, 1.2400, letrero_juguetes, ==SIGNBOARDS==, 4.5125, 1.2380, 9.5731, 0.0007, -0.9696, -0.2235, 4.3775, 1.2439, 9.5465, 0.0007, -0.9696, -0.2235, 4.4818, 1.2393, 9.5671, 5.1687, 2.7878, 6.4236
46, 1.2600, letrero_juguetes, ==SIGNBOARDS==, 4.5139, 1.2395, 9.5773, -0.0020, -0.9681, -0.2343, 4.3784, 1.2458, 9.5536, -0.0020, -0.9681, -0.2343, 4.4831, 1.2409, 9.5719, 5.0759, 2.7878, 6.5884
47, 1.2800, letrero_juguetes, ==SIGNBOARDS==, 4.5157, 1.2412, 9.5813, -0.0047, -0.9662, -0.2443, 4.3798, 1.2480, 9.5597, -0.0047, -0.9662, -0.2443, 4.4847, 1.2428, 9.5764, 5.0256, 2.8248, 6.6660
47, 1.3000, letrero_juguetes, ==SIGNBOARDS==, 4.5157, 1.2412, 9.5813, -0.0047, -0.9662, -0.2443, 4.3798, 1.2480, 9.5597, -0.0047, -0.9662, -0.2443, 4.4847, 1.2428, 9.5764, 5.0256, 2.8248, 6.6660
48, 1.3200, letrero_juguetes, ==SIGNBOARDS==, 4.5171, 1.2421, 9.5844, -0.0078, -0.9647, -0.2515, 4.3810, 1.2496, 9.5643, -0.0078, -0.9647, -0.2515, 4.4861, 1.2438, 9.5798, 5.0080, 2.8813, 6.6660
49, 1.3400, letrero_juguetes, ==SIGNBOARDS==, 4.5182, 1.2429, 9.5871, -0.0110, -0.9632, -0.2575, 4.3820, 1.2512, 9.5678, -0.0110, -0.9632, -0.2575, 4.4872, 1.2448, 9.5827, 5.0040, 2.9296, 6.6660
49, 1.3600, letrero_juguetes, ==SIGNBOARDS==, 4.5182, 1.2429, 9.5871, -0.0110, -0.9632, -0.2575, 4.3820, 1.2512, 9.5678, -0.0110, -0.9632, -0.2575, 4.4872, 1.2448, 9.5827, 5.0040, 2.9296, 6.6660
50, 1.3800, letrero_juguetes, ==SIGNBOARDS==, 4.5193, 1.2438, 9.5891, -0.0118, -0.9607, -0.2667, 4.3831, 1.2525, 9.5699, -0.0118, -0.9607, -0.2667, 4.4883, 1.2458, 9.5847, 5.0110, 3.0067, 6.6660
51, 1.4000, letrero_juguetes, ==SIGNBOARDS==, 4.5202, 1.2443, 9.5907, -0.0117, -0.9594, -0.2713, 4.3840, 1.2531, 9.5716, -0.0117, -0.9594, -0.2713, 4.4892, 1.2463, 9.5864, 5.0159, 3.0474, 6.6660
52, 1.4200, letrero_juguetes, ==SIGNBOARDS==, 4.5203, 1.2441, 9.5920, -0.0121, -0.9588, -0.2736, 4.3842, 1.2531, 9.5728, -0.0121, -0.9588, -0.2736, 4.4893, 1.2462, 9.5876, 5.0187, 3.0667, 6.6660
52, 1.4400, letrero_juguetes, ==SIGNBOARDS==, 4.5203, 1.2441, 9.5920, -0.0121, -0.9588, -0.2736, 4.3842, 1.2531, 9.5728, -0.0121, -0.9588, -0.2736, 4.4893, 1.2462, 9.5876, 5.0187, 3.0667, 6.6660
