Frame,Timestamp,TaskDuration,Completed
2637,49.1474,43.1012,No
3516,61.4341,10.1338,No
10608,160.6758,96.1271,No
16784,265.7892,74.7996,No
18089,292.9801,24.3214,No
23540,406.6252,105.5099,No
26079,445.1919,35.2305,No
29265,493.8094,46.2309,No
31445,524.3923,27.4284,No
35801,591.4621,64.3756,No
